한글(국가명),영문(블룸버그),1차접종,2차접종,발생률순위,2차접종률순위,확진자비율(인구),일별접종수,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일,백신접종수,백신보유율(인구)
벨기에,Belgium,77.0,75.7,19.0,25.0,0.14682384405428892,11.9,1.6,76.8,146824,11589623,367639.0,,669.0,,1701633,,26840,,1307154.0,,18447990.0,161.0
방글라데시,Bangladesh,34.2,21.4,124.0,129.0,0.009568218492870302,-999.0,1.8,97.7,9568,164689383,7489.0,-97.0,1384.0,205.0,1575784,205.0,27978,3.0,1540317.0,299.0,93786660.0,56.3
이스라엘,Israel,73.1,66.6,13.0,44.0,0.1550315491763363,44.9,0.6,98.9,155032,8655535,6651.0,338.0,128.0,340.0,1341881,340.0,8184,2.0,1327046.0,,16148161.0,178.4
파키스탄,Pakistan,39.0,24.3,132.0,124.0,0.005813642066537934,-999.0,2.2,96.7,5814,220892340,13719.0,126.0,946.0,303.0,1284189,303.0,28709,5.0,1241761.0,172.0,122319220.0,59.7
세르비아,Serbia,46.8,44.5,20.0,86.0,0.1431086078409627,20.6,0.9,94.8,143109,8737371,53260.0,-2930.0,209.0,1674.0,1250393,1674.0,11588,51.0,1185545.0,4553.0,7779147.0,111.7
베트남,Vietnam,70.3,46.8,119.0,83.5,0.012434329866270187,-999.0,2.1,79.2,12434,97338579,226822.0,11034.0,6096.0,12936.0,1210340,12936.0,24882,190.0,958636.0,1712.0,112944630.0,117.1
스웨덴,Sweden,70.8,68.0,26.0,42.0,0.11870646032161747,-999.0,1.3,,118706,10099265,,,32.0,,1198848,,15113,,,,15644748.0,151.5
오스트리아,Austria,70.9,66.4,24.0,46.0,0.1269412033534383,17.8,1.1,85.9,126941,9006398,148603.0,-3668.0,620.0,10478.0,1143283,10478.0,12388,39.0,982292.0,14107.0,13412688.0,151.4
포르투갈,Portugal,88.3,86.9,34.0,4.0,0.11178214461156046,-999.0,1.6,93.9,112066,10196709,51689.0,809.0,104.0,3364.0,1139810,3364.0,18405,12.0,1069716.0,2543.0,16339507.0,159.0
헝가리,Hungary,62.3,59.6,36.0,67.0,0.11064691127682627,19.8,3.2,80.7,110647,9660351,172488.0,,695.0,,1068888,,33866,,862534.0,,13598032.0,139.1
