country,Doses_administered,percent_of_people:,1_percent,2_percent,Daily_rate_of_doses
South Sudan,67109.0,0.3,0.4,0.1,1035.0
Djibouti,66010.0,3.1,3.7,2.4,215.0
Haiti,57341.0,0.3,0.4,0.2,1597.0
Sao Tome and Principe,57154.0,13.4,21.2,5.7,895.0
Turks & Caicos,51838.0,68.2,71.6,64.8,138.0
Monaco,49980.0,64.1,68.4,59.8,120.0
Sint Maarten,48882.0,58.2,60.8,55.6,53.0
Grenada,48140.0,22.1,26.2,18.0,383.0
San Marino,46917.0,69.0,71.6,71.6,86.0
Saint Kitts and Nevis,46884.0,41.1,43.8,38.4,52.0
Dominica,43971.0,31.0,32.8,29.1,96.0
Turkmenistan,41993.0,0.4,0.6,0.2,-999.0
St. Vincent and the Grenadines,32126.0,14.6,17.7,11.5,109.0
Guinea-Bissau,31090.0,0.9,1.6,0.2,44.0
Anguilla,18565.0,61.9,63.3,60.4,18.0
Nauru,14863.0,57.2,58.6,55.8,4.0
St. Helena,7892.0,65.8,72.7,58.9,8.0
Falkland Islands,4407.0,73.5,87.7,59.2,202.0
Montserrat,2840.0,28.4,29.3,27.5,-999.0
Eritrea,-999.0,-999.0,-999.0,-999.0,-999.0
