국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
보스니아 헤르체고비나🇧🇦,N/A,4.5,84.5,69367,3280819,227579,+1722,10287,+84,192218,
잠비아🇿🇲,43,1.7,97.9,11340,18383955,208469,+47,3638,,204161,+163
나이지리아🇳🇬,11,1.3,94.4,979,206139589,201798,+168,2655,+1,190563,+275
알제리🇩🇿,"21
-3",2.8,68.4,4597,43851044,201600,+175,5694,+13,137932,+157
북마케도니아🇲🇰,N/A,3.5,89.6,89717,2083374,186914,+365,6460,+23,167402,+551
노르웨이🇳🇴,"20
+1",0.5,48.7,33664,5421241,182501,+481,841,,88952,
키르기스스탄🇰🇬,131,1.5,96.9,27249,6524195,177780,+58,2590,+2,172261,+72
보츠와나🇧🇼,1,1.4,97.1,73248,2351627,172252,,2343,,167318,
우즈베키스탄🇺🇿,23,0.7,96.3,5048,33469203,168938,+501,1192,+4,162684,+629
알바니아🇦🇱,3,1.6,90.6,56624,2877797,162953,+780,2580,+6,147584,+757
아프가니스탄🇦🇫,1124,4.7,79.3,3971,38928346,154585,+46,7199,,122522,
라트비아🇱🇻,"36
-2",1.8,94.2,79922,1886198,150749,+189,2645,+5,142044,+111
에스토니아🇪🇪,18,0.9,93.1,113184,1326535,150142,+366,1328,+2,139726,+89
모잠비크🇲🇿,32,1.3,97.1,4800,31255435,150018,+37,1903,,145606,+224
핀란드🇫🇮,20,0.8,33.8,24592,5540720,136257,,1051,,46000,
짐바브웨🇿🇼,12,3.6,94.5,8608,14862924,127938,+199,4567,+4,120946,+683
나미비아🇳🇦,19,2.7,96.2,49943,2540905,126900,+192,3471,+5,122089,+49
몬테네그로🇲🇪,11,1.5,92.1,201705,628066,126684,+425,1859,+10,116709,+350
가나🇬🇭,42,0.9,95.7,4031,31072940,125261,+256,1121,+3,119859,+258
우간다🇺🇬,381,2.6,78.4,2673,45741007,122277,+65,3129,+1,95897,+8
키프로스🇨🇾,45,0.5,77.9,96487,1207359,116494,,534,,90755,
코소보🇽🇰,N/A,2.1,98.0,59381,1810463,107507,,2269,,105323,
캄보디아🇰🇭,N/A,2.0,93.3,6263,16718965,104716,+622,2123,+14,97700,+473
엘살바도르🇸🇻,"127
-31",3.1,83.3,15729,6486205,102024,+2323,3114,+12,84981,
중국🇨🇳,N/A,4.8,94.2,67,1439323776,95738,+49,4636,,90160,+34
르완다🇷🇼,"19
-4",1.3,47.7,7354,12952218,95257,+140,1210,+4,45430,+1
호주🇦🇺,292,1.3,72.7,3417,25499884,87134,+1486,1167,+5,63378,
카메룬🇨🇲,152,1.6,94.2,3218,26545863,85414,,1368,,80433,
몰디브🇲🇻,23,0.3,97.7,154615,540544,83576,+82,229,,81671,+127
자메이카🇯🇲,"55
-2",2.2,63.7,26906,2961167,79673,+546,1791,+14,50787,+146
싱가포르🇸🇬,"21
+3",0.1,90.7,13299,5850342,77804,+1012,60,,70600,+476
룩셈부르크🇱🇺,9,1.1,97.4,123309,625978,77189,,834,,75209,
세네갈🇸🇳,"7
-1",2.5,94.9,4399,16743927,73654,+9,1845,,69884,+393
말라위🇲🇼,67,3.7,84.7,3208,19129952,61363,+26,2261,+5,52005,+165
코트디부아르🇨🇮,N/A,1.0,96.0,2237,26378274,59020,+131,566,+5,56688,+97
콩고민주공화국🇨🇩,N/A,1.9,54.7,630,89561403,56387,,1068,,30858,
레위니옹🇷🇪,33,0.7,97.1,58798,895312,52643,,358,,51126,
과들루프🇬🇵,23,1.3,4.3,131159,400124,52480,,668,,2250,
앙골라🇦🇴,8,2.7,88.0,1592,32866272,52307,,1388,,46025,
피지🇫🇯,39,1.1,72.1,55730,896445,49959,+79,566,,36011,+82
트리니다드 토바고🇹🇹,22,2.9,88.7,34672,1399488,48523,+123,1416,+3,43059,+157
에스와티니🇸🇿,10,2.6,95.3,39115,1160164,45380,+28,1195,+1,43236,+151
마다가스카르🇲🇬,3,2.2,96.3,1549,27691018,42898,,958,,41322,
프랑스령 폴리네시아🇵🇫,46,1.5,83.4,143029,280908,40178,,593,,33500,
마르티니크🇲🇶,1,1.4,0.3,105912,375265,39745,,555,,104,
프랑스령 기아나🇬🇫,34,0.6,26.1,128116,298682,38266,,235,,9995,
수단🇸🇩,N/A,7.6,83.9,868,43849260,38053,+53,2879,+4,31940,+24
카보베르데🇨🇻,23,0.9,96.7,66743,555987,37108,+56,330,+1,35866,+53
몰타 공화국🇲🇹,3,1.2,96.1,83783,441543,36994,+22,455,+2,35569,+32
수리남🇸🇷,22,2.2,72.1,62639,586632,36746,,803,,26488,
모리타니🇲🇷,22,2.2,95.0,7627,4649658,35462,+82,766,+1,33683,+95
시리아🇸🇾,N/A,6.9,75.1,1755,17500658,30709,+190,2127,+7,23048,+41
기니🇬🇳,24,1.2,93.8,2295,13132795,30136,,370,,28277,
가이아나🇬🇾,32,2.5,84.6,37573,786552,29553,+208,725,+12,25000,+22
가봉🇬🇦,22,0.6,94.6,12420,2225734,27643,,175,,26149,
토고🇹🇬,N/A,0.9,83.0,2971,8278724,24599,+80,213,,20426,+261
베냉🇧🇯,5,0.7,80.6,1769,12123200,21450,,146,,17294,
아이티🇭🇹,N/A,2.8,89.8,1878,11402528,21413,+75,605,+8,19239,+73
세이셸🇸🇨,N/A,0.5,96.7,212950,98347,20943,,114,,20245,
마요트🇾🇹,N/A,0.9,14.7,73874,272815,20154,+29,176,,2964,
바하마🇧🇸,15,2.5,88.5,50935,393244,20030,,504,,17727,
라오스🇱🇦,N/A,0.1,29.0,2637,7275560,19185,,16,,5568,
동티모르🇹🇱,N/A,0.6,91.2,14455,1318445,19058,+25,105,+1,17381,+127
소말리아🇸🇴,N/A,5.6,48.4,1196,15893222,19004,,1063,,9191,
파푸아뉴기니🇵🇬,7,1.1,96.5,2072,8947024,18542,,204,,17892,
벨리즈🇧🇿,10,2.1,89.1,46606,397628,18532,,389,,16518,
타지키스탄🇹🇯,N/A,0.7,99.3,1791,9537645,17084,,124,,16960,
대만🇹🇼,N/A,5.2,85.1,678,23816775,16147,+6,840,,13742,
퀴라소🇨🇼,4,1.0,96.1,97847,164093,16056,+25,158,+2,15424,+25
아루바🇦🇼,7,1.0,97.2,142826,106766,15249,+28,158,,14822,+32
안도라🇦🇩,4,0.9,98.8,195742,77265,15124,,130,,14941,
말리🇲🇱,N/A,3.6,94.4,744,20250833,15068,+8,545,,14218,+3
모리셔스🇲🇺,N/A,0.4,12.9,11328,1271768,14406,+163,54,+4,1854,
레소토🇱🇸,N/A,2.8,47.4,6720,2142249,14395,,403,,6830,
부룬디🇧🇮,N/A,0.3,5.4,1193,11890784,14189,,38,,773,
부르키나파소🇧🇫,N/A,1.2,97.6,672,20903273,14041,,172,,13697,
콩고공화국🇨🇬,N/A,1.3,90.7,2483,5518087,13701,,183,,12421,
니카라과🇳🇮,N/A,1.6,32.4,1966,6624554,13025,,202,,4225,
홍콩🇭🇰,N/A,1.8,97.6,1623,7496981,12165,+5,213,,11872,+3
지부티🇩🇯,N/A,1.3,97.4,12186,988000,12040,+80,159,+2,11725,+37
남수단🇸🇸,N/A,1.0,94.8,1055,11193725,11814,+9,121,,11195,
아이슬란드🇮🇸,6,0.3,96.6,33419,341243,11404,,33,,11017,
중앙아프리카 공화국🇨🇫,2,0.9,60.7,2342,4829767,11309,,100,,6859,
적도 기니🇬🇶,1,1.2,85.8,7885,1402985,11063,,137,,9490,
세인트루시아🇱🇨,12,1.4,75.8,57290,183627,10520,,150,,7973,
감비아🇬🇲,3,3.4,96.4,4092,2416668,9888,+21,332,+2,9533,+29
예멘🇾🇪,23,18.9,62.0,292,29825964,8718,+51,1649,+6,5401,+24
맨섬🇮🇲,1,0.5,94.8,84273,85033,7166,+25,38,,6790,
에리트레아🇪🇷,N/A,0.6,99.2,1881,3546421,6671,,40,,6618,
바베이도스🇧🇧,N/A,0.9,86.3,22712,287375,6527,+169,58,+1,5632,+266
시에라리온🇸🇱,N/A,1.9,68.5,801,7976983,6392,,121,,4376,+2
기니비사우🇬🇼,4,2.1,86.1,3089,1968001,6080,+2,130,,5237,+10
니제르🇳🇪,N/A,3.4,95.5,246,24206644,5957,,201,,5689,
라이베리아🇱🇷,2,4.9,94.5,1142,5057681,5777,,283,,5458,
지브롤터🇬🇮,2,1.8,96.9,162625,33691,5479,+2,97,,5309,+6
산마리노🇸🇲,"2
+1",1.7,97.2,159706,33931,5419,+31,90,,5269,+29
브루나이🇧🇳,"22
-2",0.5,68.0,12026,437479,5261,+214,28,+2,3575,+118
차드🇹🇩,N/A,3.5,96.2,306,16425864,5029,+3,174,,4837,
버뮤다🇧🇲,1,0.9,67.2,71887,62278,4477,+259,42,+4,3008,+66
코모로🇰🇲,N/A,3.6,96.0,4722,869601,4106,,147,,3943,
신트마르턴🇸🇽,10,1.4,94.3,95415,42876,4091,,59,,3857,
뉴질랜드🇳🇿,5,0.7,89.3,846,4822233,4082,+22,27,,3645,+6
그레나다🇬🇩,N/A,1.3,33.0,36233,112523,4077,+236,55,+5,1347,
세인트마틴 섬🇲🇫,7,1.3,38.4,94295,38666,3646,,47,,1399,
뉴칼레도니아🇳🇨,"39
+4",0.7,1.6,12620,285498,3603,+72,25,+3,58,
리히텐슈타인🇱🇮,1,1.8,96.8,89304,38128,3405,,60,,3297,
모나코🇲🇨,6,1.0,98.0,83839,39242,3290,,33,,3225,+7
상투메 프린시페🇸🇹,N/A,1.4,84.9,13885,219159,3043,+3,43,,2582,
도미니카 연방🇩🇲,N/A,0.3,76.2,40174,71986,2892,+134,9,+1,2204,+79
세인트빈센트 그레나딘🇻🇨,2,0.5,82.5,25509,110940,2830,+102,14,,2335,+3
터크스 케이커스 제도🇹🇨,1,0.8,95.3,72449,38717,2805,+5,22,+1,2672,+9
영국령 버진아일랜드🇻🇬,7,1.4,96.7,87394,30231,2642,,37,,2555,
앤티가 바부다🇦🇬,9,2.1,60.9,26580,97929,2603,,55,,1584,
부탄🇧🇹,N/A,0.1,99.8,3366,771608,2597,,3,,2593,
카리브 네덜란드🇧🇶,N/A,0.9,92.6,75201,26223,1972,+3,18,,1827,
세인트키츠 네비스🇰🇳,1,0.6,55.4,31467,53199,1674,+42,10,+1,927,+18
생바르텔레미🇧🇱,N/A,0.1,29.8,156728,9877,1548,,2,,462,
탄자니아🇹🇿,7,3.7,13.4,23,59734218,1367,,50,,183,
페로 제도🇫🇴,"1
+1",0.2,96.3,21898,48863,1070,+11,2,,1030,+1
케이맨 제도🇰🇾,N/A,0.3,93.0,11777,65722,774,,2,,720,
그린란드🇬🇱,2,-,78.0,8173,56770,464,,0,,362,
왈리스 퓌티나🇼🇫,N/A,1.6,98.4,-,-,445,,7,,438,
앵귈라🇦🇮,N/A,-,95.8,22062,15003,331,,0,,317,
포클랜드 제도🇫🇰,N/A,-,94.0,19253,3480,67,,0,,63,
마카오🇲🇴,N/A,-,100,97,649335,63,,0,,63,
몬트세랫🇲🇸,N/A,3.0,90.9,6611,4992,33,,1,,30,
생피에르 미클롱🇵🇲,N/A,-,100,5350,5794,31,,0,,31,
바티칸 시국🇻🇦,N/A,-,100,33708,801,27,,0,,27,
솔로몬 제도🇸🇧,N/A,-,100,29,686884,20,,0,,20,
서사하라🇪🇭,N/A,10,80,17,597339,10,,1,,8,
잔담(크루즈)🚢,N/A,22.2,77.8,-,-,9,,2,,7,
팔라우🇵🇼,N/A,-,60,276,18094,5,,0,,3,+1
마셜 제도🇲🇭,N/A,-,100,68,59190,4,,0,,4,
바누아투🇻🇺,N/A,25,75,13,307145,4,,1,,3,
사모아🇼🇸,N/A,-,100,15,198414,3,,0,,3,
세인트헬레나🇸🇭,N/A,-,100,329,6077,2,,0,,2,
미크로네시아🇫🇲,N/A,-,100,9,115023,1,,0,,1,
