국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,"24327
-523",1.6,75.8,129632,331002651,42908619,+41814,691992,+430,32508846,+25620
인도🇮🇳,8944,1.3,97.7,24277,1380004385,33483170,+32085,445248,+349,32715105,+43938
브라질🇧🇷,8318,2.8,95.5,99924,212559417,21239783,+9458,590786,+239,20280294,
영국🇬🇧,1020,1.8,80.5,109444,67886011,7429746,+29007,135203,+56,5981684,+22993
러시아🇷🇺,2300,2.7,89.3,49986,145934462,7294672,+19744,198996,+778,6510674,+11992
프랑스🇫🇷,"1832
-168",1.7,95.6,106557,65273511,6955333,+5814,116030,+28,6649678,+23192
터키🇹🇷,633,0.9,92.5,81187,84339067,6847259,+26398,61574,+213,6337070,+27160
이란🇮🇷,"6707
-58",2.2,88.1,64794,83992949,5442232,+17397,117526,+344,4792117,+27119
아르헨티나🇦🇷,"1496
-20",2.2,97.3,115923,45195774,5239232,+622,114428,+61,5096283,+2932
콜롬비아🇨🇴,542,2.5,96.7,97107,50882891,4941064,+1813,125895,+35,4779552,+1756
스페인🇪🇸,1028,1.7,94.0,105434,46754778,4929546,,85783,,4633527,
이탈리아🇮🇹,"530
+11",2.8,94.7,76678,60461826,4636111,+3836,130310,+26,4392265,+3314
인도네시아🇮🇩,N/A,3.4,95.3,15328,273523615,4192695,+1932,140634,+166,3996125,+6799
독일🇩🇪,1217,2.3,93.9,49569,83783942,4153067,+6085,93592,+34,3897800,+15100
멕시코🇲🇽,4798,7.6,81.9,27686,128932753,3569677,+4983,271503,+200,2924904,+8633
폴란드🇵🇱,"113
+2",2.6,91.8,76580,37846611,2898299,+364,75488,,2659912,+429
남아프리카 공화국🇿🇦,546,3.0,94.8,48604,59308690,2882630,+2281,86174,+58,2732363,+3402
필리핀🇵🇭,3170,1.5,91.0,21770,109581078,2385616,+18867,36934,+146,2171832,+20067
우크라이나🇺🇦,177,2.3,94.9,53749,43733762,2350646,+2265,54919,+44,2231417,+565
페루🇵🇪,"1043
+9",9.2,N/A,65723,32971854,2167008,+589,199006,+30,N/A,
말레이시아🇲🇾,"1191
+26",1.1,88.8,64816,32365999,2097830,+14954,23443,+376,1863919,+23469
네덜란드🇳🇱,"208
+11",0.9,N/A,115918,17134872,1986241,+1326,18123,+9,N/A,
이라크🇮🇶,"618
+2",1.1,94.4,49187,40222493,1978412,+3192,21869,+47,1867818,+4878
체코🇨🇿,"28
-1",1.8,97.9,157472,10708981,1686364,+182,30431,+1,1650853,+317
일본🇯🇵*,"1458
-42",1.0,94.5,13283,126476461,1680028,+2218,17250,+23,1586847,+10277
칠레🇨🇱,"434
-4",2.3,97.4,86196,19116201,1647746,+277,37367,+8,1604353,+419
캐나다🇨🇦,638,1.7,95.3,41687,37742154,1573359,+2032,27395,+11,1499483,+997
방글라데시🇧🇩,1403,1.8,97.3,9377,164689383,1544238,+1555,27251,+26,1503106,+1565
태국🇹🇭,4387,1.0,90.1,21335,69799978,1489186,+12709,15469,+106,1341144,+11125
이스라엘🇮🇱,"714
-12",0.6,93.2,142297,8655535,1231660,+9947,7541,+30,1147578,+17185
파키스탄🇵🇰,"4840
-124",2.2,92.6,5550,220892340,1226008,+2167,27246,+40,1135038,+2312
벨기에🇧🇪,218,2.1,93.0,105251,11589623,1219814,,25497,,1133872,
루마니아🇷🇴,"952
+103",3.1,93.7,59885,19237691,1152052,+3342,35592,+78,1079814,+406
스웨덴🇸🇪,43,1.3,N/A,113373,10099265,1144982,,14734,,N/A,
포르투갈🇵🇹,"86
-4",1.7,95.1,104156,10196709,1062048,+677,17907,+5,1010168,+651
모로코🇲🇦,"776
+3",1.5,95.9,24916,36910560,919681,+1555,13910,+34,882155,+2064
세르비아🇷🇸,"181
-2",0.9,87.0,99814,8737371,872110,+6424,7808,+38,758509,+3309
카자흐스탄🇰🇿,221,1.2,91.6,45954,18776707,862862,+2438,10763,+37,790394,+2944
스위스🇨🇭,"260
+3",1.3,89.7,95568,8654622,827107,+4033,11011,+1,741782,+5394
헝가리🇭🇺,"45
+4",3.7,95.4,84700,9660351,818231,+1072,30136,+13,780465,+688
요르단🇯🇴,"509
+2",1.3,97.2,79740,10203134,813601,+920,10616,+10,790672,+1038
쿠바🇨🇺,"503
+42",0.8,94.2,71505,11326616,809911,+8544,6856,+60,762679,+7781
네팔🇳🇵,N/A,1.4,95.8,26960,29136808,785541,+975,11048,+8,752170,+2957
아랍에미레이트🇦🇪,N/A,0.3,98.9,74113,9890402,733003,+313,2077,+2,724855,+409
오스트리아🇦🇹,"219
+7",1.5,95.3,80547,9006398,725434,+1399,10896,+1,691691,+1764
튀니지🇹🇳,"380
-5",3.5,95.6,59262,11818619,700400,+472,24527,+37,669928,+573
베트남🇻🇳,N/A,2.5,66.7,7148,97338579,695744,+8681,17305,+215,464326,+6821
그리스🇬🇷,348,2.3,93.2,60518,10423054,630784,+1286,14466,+33,587957,
레바논🇱🇧,200,1.3,93.9,90584,6825445,618278,+616,8236,+4,580346,
조지아🇬🇪,N/A,1.4,94.6,149386,3989167,595926,+662,8575,+34,563530,+3534
사우디아라비아🇸🇦,"339
-4",1.6,98.0,15701,34813871,546612,+63,8667,+6,535602,+71
과테말라🇬🇹,5,2.5,90.4,29551,17915568,529422,+834,13040,+41,478671,+2970
벨라루스🇧🇾,N/A,0.8,97.3,54858,9449323,518369,+1941,4016,+12,504561,+1295
에콰도르🇪🇨,759,6.4,87.5,28737,17643054,507003,+1143,32661,+102,443880,
코스타리카🇨🇷,489,1.2,80.5,99166,5094118,505163,,5949,,406660,
스리랑카🇱🇰,N/A,2.4,85.6,23560,21413249,504491,+1733,12125,+103,432038,+1002
볼리비아🇧🇴,220,3.8,90.9,42585,11673021,497100,+150,18659,+5,451691,+642
불가리아🇧🇬,"391
-5",4.2,87.8,69395,6948445,482186,+458,20028,+43,423424,+1069
아제르바이잔🇦🇿,N/A,1.3,91.8,46623,10139177,472719,,6305,,434095,
파나마🇵🇦,108,1.5,97.5,107604,4314767,464288,+250,7172,+2,452809,
파라과이🇵🇾,"37
+1",3.5,96.1,64444,7132538,459650,+28,16128,+2,441728,+181
미얀마🇲🇲,N/A,3.8,89.2,8208,54409800,446573,+1702,17073,+57,398220,+2365
쿠웨이트🇰🇼,"16
-1",0.6,99.2,96282,4270571,411180,+56,2439,+1,407908,+84
슬로바키아🇸🇰,"60
+1",3.1,95.2,73800,5459642,402922,+114,12573,+4,383612,+101
크로아티아🇭🇷,"85
+4",2.2,95.9,95548,4105267,392248,+264,8514,+14,376216,+1018
우루과이🇺🇾,11,1.6,98.0,111588,3473730,387627,+72,6048,,379986,+103
팔레스타인🇵🇸,"76
+1",1.0,91.2,75762,5101414,386493,+2103,3935,+16,352315,+1262
아일랜드🇮🇪,"63
-3",1.4,86.7,76019,4937786,375367,+1224,5179,,325349,+2024
온두라스🇭🇳,515,2.7,30.3,36110,9904607,357654,,9491,,108262,
도미니카 공화국🇩🇴,"153
+12",1.1,97.5,32739,10847910,355150,+137,4028,+1,346326,+330
베네수엘라🇻🇪,681,1.2,95.5,12486,28435940,355061,+822,4301,+10,339081,+850
덴마크🇩🇰,"22
-1",0.7,97.7,61274,5792202,354913,+268,2630,+2,346831,+467
에티오피아🇪🇹,"784
-16",1.5,90.3,2896,114963588,332961,+958,5130,+15,300684,+2572
리비아🇱🇾,N/A,1.4,74.7,48321,6871292,332026,+1081,4517,+16,248119,+1310
리투아니아🇱🇹,"166
+4",1.5,92.4,116334,2722289,316695,+746,4810,+17,292673,+171
오만🇴🇲,"19
-8",1.3,96.9,59425,5106626,303459,+150,4093,+1,293957,+339
이집트🇪🇬,90,5.7,84.3,2902,102334404,296929,+653,16970,+19,250304,+511
대한민국🇰🇷,"332
-1",0.8,90.1,5608,51269185,287536,+1605,2409,+5,259011,+1562
슬로베니아🇸🇮,"63
+3",1.6,93.8,136498,2078938,283770,+290,4503,+5,266041,+230
몰도바🇲🇩,"100
+6",2.3,94.9,69832,4033963,281700,+484,6595,+9,267372,+648
몽골🇲🇳,192,0.4,96.2,84799,3278290,277997,+2851,1119,+11,267369,+5211
바레인🇧🇭,2,0.5,99.2,161182,1701575,274264,+85,1388,,272108,+96
아르메니아🇦🇲,N/A,2.0,93.2,85697,2963243,253942,+342,5143,+12,236578,+490
케냐🇰🇪,109,2.0,96.3,4585,53771296,246530,,4989,,237295,
카타르🇶🇦,"19
+1",0.3,99.1,81785,2881053,235626,+240,604,,233454,+338
