country,Doses_administered,percent_of_people:,1_percent,2_percent,Daily_rate_of_doses
Brunei,177628.0,19.3,30.8,7.8,4082.0
Barbados,176682.0,30.8,34.8,26.7,562.0
Curaçao,174397.0,53.5,56.7,50.3,187.0
Armenia,173017.0,2.9,4.1,1.7,2766.0
Comoros,162450.0,9.3,13.9,-999.0,4054.0
Jersey,143244.0,-999.0,-999.0,-999.0,381.0
Seychelles,141435.0,73.7,75.9,71.4,58.0
Republic of the Congo,140998.0,1.5,1.7,1.4,2119.0
Aruba,136962.0,61.1,64.8,57.4,216.0
Isle of Man,124807.0,73.4,76.4,70.4,133.0
Bahamas,108596.0,14.3,16.2,12.3,809.0
Gabon,103820.0,2.5,3.0,2.0,1304.0
Papua New Guinea,100409.0,0.6,1.0,0.2,1341.0
Cayman Islands,98419.0,75.7,76.7,73.0,200.0
Guernsey,95738.0,-999.0,-999.0,-999.0,401.0
Liberia,95423.0,1.0,1.9,-999.0,483.0
Central African Republic,94811.0,1.0,1.7,0.2,113.0
Greenland,92149.0,80.8,113.3,48.3,772.0
Andorra,90547.0,58.8,65.9,52.7,424.0
DR Congo,86170.0,0.05,0.1,-999.0,532.0
Samoa,84413.0,21.0,30.7,-999.0,1483.0
Bermuda,82976.0,65.9,66.5,16.4,35.0
Gibraltar,78489.0,115.4,115.7,115.1,12.0
Eswatini,76399.0,3.4,3.9,2.9,1272.0
Algeria,75000.0,0.1,-999.0,-999.0,6248.0
Lesotho,72948.0,1.8,2.0,-999.0,756.0
Benin,70323.0,0.3,0.4,-999.0,1382.0
Antigua and Barbuda,69518.0,35.8,39.8,32.0,156.0
Faroe Islands,67049.0,68.4,72.1,64.7,631.0
St. Lucia,57858.0,16.1,18.1,14.0,301.0
Micronesia,57098.0,27.5,31.4,-999.0,269.0
South Sudan,56989.0,0.2,0.4,0.05,153.0
Turks & Caicos,47263.0,62.2,64.7,59.7,153.0
San Marino,45940.0,67.6,70.3,69.1,88.0
Tonga,45549.0,22.8,28.8,-999.0,863.0
Sint Maarten,45346.0,54.0,57.7,50.2,145.0
Monaco,44060.0,56.5,62.7,50.3,245.0
Sao Tome and Principe,43978.0,10.3,15.1,5.6,3.0
Saint Kitts and Nevis,43726.0,38.4,41.9,34.8,57.0
Gambia,43557.0,0.9,1.3,0.5,47.0
Turkmenistan,41993.0,0.4,0.6,0.2,-999.0
Dominica,40553.0,28.6,29.4,27.7,20.0
Solomon Islands,40404.0,3.2,4.6,1.7,910.0
Grenada,37689.0,17.3,19.7,14.9,129.0
Burkina Faso,35402.0,0.1,0.2,-999.0,173.0
St. Vincent and the Grenadines,27589.0,12.5,14.8,10.2,109.0
Djibouti,26796.0,1.2,1.7,-999.0,247.0
Chad,26537.0,0.1,0.1,0.1,403.0
Guinea-Bissau,25225.0,0.7,1.4,-999.0,27.0
Anguilla,18193.0,60.6,62.9,18.9,21.0
Nauru,14784.0,56.9,57.9,55.8,38.0
St. Helena,7091.0,59.1,59.4,58.8,120.0
Falkland Islands,4407.0,73.5,87.7,59.2,202.0
Montserrat,2791.0,27.9,29.1,26.7,7.0
Bosnia and Herzegovina,-999.0,-999.0,-999.0,-999.0,-999.0
