country,Doses_administered,percent_of_people:,1_percent,2_percent,Daily_rate_of_doses
Global Total,4414063600.0,-999.0,-999.0,-999.0,42600504.0
Mainland China,1757780000.0,62.8,44.4,15.9,17197856.0
India,506218300.0,18.5,28.8,8.2,5565503.0
EU,487840480.0,54.9,60.9,52.5,2513484.0
U.S.,350627200.0,54.8,58.5,50.1,712389.0
Brazil,149469810.0,36.6,52.0,21.1,1426282.0
Japan,99651090.0,39.5,46.0,32.9,2269209.0
Germany,94682300.0,57.0,62.4,54.6,375419.0
U.K.,86207850.0,64.5,70.4,58.7,181407.0
France,77681230.0,59.9,68.9,57.3,517893.0
Turkey,75907224.0,45.6,50.1,34.5,396358.0
Indonesia,73492870.0,13.8,18.7,8.8,783013.0
Italy,71240660.0,59.0,65.2,56.7,403547.0
Mexico,70808380.0,27.8,39.2,21.0,739529.0
Russia,66216816.0,22.6,25.9,18.4,579461.0
Spain,58542496.0,63.0,71.3,60.8,371077.0
Canada,50419136.0,67.2,72.0,60.5,199512.0
Pakistan,36331024.0,8.9,14.1,3.6,954710.0
Poland,34925460.0,46.0,48.9,46.9,84457.0
Argentina,34214044.0,38.1,57.8,18.3,333721.0
Colombia,30011576.0,29.8,37.4,25.2,420774.0
Saudi Arabia,29559988.0,43.4,58.2,28.5,404891.0
South Korea,28468856.0,27.5,40.2,14.9,301333.0
Morocco,25933900.0,36.4,42.3,30.6,311199.0
Chile,25688832.0,67.2,72.5,64.6,46786.0
Malaysia,23608290.0,36.2,47.1,25.3,650779.0
Netherlands,21344540.0,61.9,69.5,55.8,129195.0
Philippines,20863544.0,9.7,10.9,8.5,411949.0
Thailand,19632536.0,14.1,21.8,6.1,401677.0
UAE,17097354.0,79.5,73.7,66.0,43091.0
Belgium,14987130.0,65.4,71.0,62.7,102425.0
Bangladesh,14699590.0,4.4,6.1,2.7,264332.0
Peru,14357462.0,21.6,25.4,17.9,206339.0
Australia,13496355.0,26.4,34.9,17.1,184239.0
Sri Lanka,13456322.0,30.9,49.4,12.3,315166.0
Cambodia,13393448.0,40.6,48.1,33.9,248599.0
Portugal,12621877.0,61.4,70.0,59.3,133167.0
Iran,12388974.0,7.4,11.5,3.3,277538.0
Ecuador,12384109.0,35.9,55.2,16.6,329924.0
Israel,11588381.0,64.0,64.1,59.6,119085.0
Hungary,11122088.0,56.9,57.7,56.1,11178.0
Sweden,10942947.0,53.0,63.0,43.0,62122.0
Greece,10806193.0,50.4,54.0,50.0,47182.0
Cuba,10713247.0,47.3,40.6,-999.0,191593.0
Czech Republic,10631138.0,49.9,53.8,47.4,45313.0
Dominican Republic,10426989.0,50.3,54.1,43.8,46630.0
Kazakhstan,10004227.0,26.8,30.2,22.7,284670.0
Austria,9928726.0,56.0,60.3,54.1,38774.0
Romania,9613156.0,24.8,26.1,25.4,74356.0
Uzbekistan,9554258.0,14.4,19.4,4.0,302796.0
Taiwan,9154501.0,19.4,36.7,2.1,152233.0
Switzerland,9085296.0,53.2,55.1,49.3,22363.0
Ukraine,8761526.0,10.5,15.4,5.6,176424.0
South Africa,8588464.0,8.9,11.7,6.1,149132.0
Vietnam,8528267.0,4.4,7.9,0.9,370984.0
Singapore,8101676.0,71.0,77.7,66.5,81691.0
Denmark,7697063.0,66.3,73.6,58.9,46292.0
Nepal,6611076.0,11.6,15.5,7.8,223823.0
Hong Kong,6124627.0,40.7,46.1,35.4,65920.0
Ireland,6078493.0,61.4,68.9,58.4,36497.0
Finland,5880854.0,53.3,68.0,38.6,37987.0
Egypt,5649322.0,2.8,3.9,1.8,27488.0
Norway,5623984.0,52.5,69.0,36.0,46502.0
Serbia,5576247.0,40.0,41.0,39.1,6494.0
Jordan,5515152.0,27.4,31.0,23.8,53344.0
Azerbaijan,5370768.0,26.9,31.4,22.5,56915.0
Uruguay,4880810.0,69.3,73.8,64.9,13448.0
Bolivia,4714133.0,20.4,26.5,15.5,66702.0
El Salvador,4664353.0,36.1,47.0,25.3,99207.0
Slovakia,4356585.0,40.0,42.1,37.3,18526.0
Mongolia,4198321.0,63.7,66.8,60.6,14662.0
Qatar,3942271.0,70.5,76.1,64.9,23115.0
Nigeria,3938945.0,1.0,1.3,0.7,15212.0
Venezuela,3612473.0,6.5,13.0,0.8,61871.0
Myanmar,3500000.0,3.3,3.5,2.9,3666.0
Costa Rica,3424278.0,33.7,50.7,16.8,58889.0
Croatia,3118842.0,38.3,40.8,37.2,7169.0
Tunisia,3111252.0,13.2,16.3,9.6,50236.0
Panama,2943308.0,34.9,52.3,18.2,63456.0
Lithuania,2671867.0,48.0,53.3,46.5,14563.0
Zimbabwe,2604265.0,8.7,11.7,5.8,46085.0
Guatemala,2557374.0,7.3,12.5,2.1,87243.0
Laos,2479026.0,17.3,18.4,16.2,89743.0
Paraguay,2445978.0,17.1,30.0,4.2,45997.0
Lebanon,2441010.0,17.8,30.5,17.1,16639.0
Belarus,2380101.0,12.6,14.8,10.4,26444.0
Kuwait,2380000.0,25.1,30.6,19.4,12990.0
Bahrain,2357620.0,79.4,75.2,71.6,28288.0
Ethiopia,2250893.0,1.2,2.3,-999.0,8178.0
Iraq,2115456.0,2.7,2.1,1.3,57952.0
New Zealand,2108567.0,21.4,26.7,16.2,40138.0
Honduras,2108280.0,10.8,18.5,3.0,43888.0
Bulgaria,2088021.0,15.0,15.9,14.9,9011.0
Oman,1887421.0,22.5,37.0,8.0,7562.0
Kenya,1793520.0,1.9,2.3,1.4,12220.0
Slovenia,1769537.0,43.8,45.4,40.2,19093.0
Angola,1680590.0,2.8,3.2,2.4,3533.0
Afghanistan,1442250.0,1.9,2.1,1.8,15209.0
Latvia,1383196.0,36.0,41.0,36.5,5104.0
Ghana,1271393.0,2.1,2.9,1.3,761.0
Albania,1238036.0,21.6,24.1,19.0,6741.0
Mauritius,1237673.0,48.8,54.0,43.7,11599.0
Senegal,1204245.0,3.7,5.5,1.9,42527.0
Estonia,1167134.0,44.0,50.0,43.6,5176.0
Uganda,1152874.0,1.4,2.9,0.05,1997.0
Ivory Coast,1098505.0,2.1,4.2,0.4,26115.0
Moldova,1093742.0,20.4,22.8,19.8,7301.0
Cyprus,1014151.0,57.9,62.1,53.6,5264.0
Bhutan,963652.0,64.7,68.2,-999.0,67826.0
North Macedonia,932603.0,22.4,25.2,19.7,20545.0
Guinea,904845.0,3.3,4.1,2.5,15820.0
Rwanda,854194.0,3.4,3.6,3.3,4836.0
Sudan,819035.0,0.9,1.5,0.4,565.0
Tajikistan,806815.0,4.3,8.1,-999.0,44964.0
Malta,773225.0,78.3,81.8,79.9,2139.0
Libya,737417.0,5.6,10.4,-999.0,18908.0
Luxembourg,726230.0,59.1,64.5,53.8,3502.0
Mozambique,714776.0,1.1,1.3,1.0,3391.0
Malawi,636522.0,1.6,2.2,0.7,4004.0
Kyrgyzstan,635036.0,5.0,7.9,2.1,6968.0
Fiji,628823.0,35.1,54.1,16.1,8350.0
Trinidad and Tobago,623007.0,22.3,29.5,15.1,13460.0
Georgia,606988.0,8.1,11.2,5.1,17914.0
Maldives,604808.0,81.3,87.7,74.9,2414.0
Macau,523029.0,38.5,42.6,34.5,1897.0
Kosovo,487685.0,13.5,17.9,9.2,8410.0
Zambia,478129.0,1.3,1.8,1.0,6672.0
Iceland,477205.0,66.8,77.1,71.5,1284.0
Togo,474776.0,2.9,4.0,1.9,1469.0
Nicaragua,415640.0,3.2,3.9,2.5,4431.0
Timor-Leste,402962.0,15.6,23.2,-999.0,5670.0
Niger,401133.0,0.9,1.5,-999.0,5598.0
Guyana,396997.0,25.3,32.5,18.1,2561.0
Botswana,370626.0,7.8,10.2,5.4,11750.0
Jamaica,369960.0,6.8,8.7,4.9,5312.0
Cameroon,349845.0,0.7,1.2,0.2,2567.0
Montenegro,346493.0,27.8,30.2,25.4,2361.0
Equatorial Guinea,311778.0,11.5,13.3,9.6,1543.0
Yemen,311483.0,0.5,0.9,-999.0,880.0
Somalia,279869.0,0.9,1.2,-999.0,1367.0
Suriname,255396.0,21.4,31.6,11.2,2295.0
Namibia,226109.0,4.6,7.1,2.1,2100.0
Sierra Leone,225380.0,1.4,1.8,0.2,12253.0
Mauritania,224000.0,2.8,5.1,0.5,2556.0
Mali,206562.0,0.5,0.8,0.3,441.0
Madagascar,197001.0,0.4,0.7,-999.0,178.0
Belize,186813.0,22.9,33.0,12.8,2219.0
Cape Verde,183620.0,16.7,29.4,-999.0,3453.0
