국가,백신접종수,백신보유율(인구),1차접종,2차접종,일별접종수
Albania,2081782.0,72.5,37.2,33.2,2.1
Kyrgyzstan,1986976.0,31.1,17.2,13.8,-999.0
Senegal,1908088.0,11.7,8.1,5.7,-999.0
Mauritius,1875132.0,148.0,72.3,72.2,-999.0
Mauritania,1734046.0,42.7,26.1,16.6,-999.0
North Macedonia,1675793.0,80.6,42.6,38.0,3.0
Estonia,1656161.0,125.0,62.3,59.2,-999.0
Kosovo,1609325.0,89.4,47.3,42.1,-999.0
Moldova,1607196.0,59.9,35.9,34.6,-999.0
Bosnia and Herzegovina,1553874.0,47.1,25.2,21.8,-999.0
Togo,1507722.0,18.7,12.4,6.3,-999.0
Syria,1414665.0,-999.0,-999.0,-999.0,-999.0
Malawi,1390496.0,6.9,5.4,2.9,-999.0
Botswana,1352557.0,56.9,42.8,19.7,-999.0
Tanzania,1337045.0,2.4,1.6,1.7,-999.0
Cyprus,1298388.0,148.2,70.7,66.4,11.1
Trinidad and Tobago,1281756.0,91.9,48.4,45.9,-999.0
Fiji,1213236.0,135.6,70.8,64.8,-999.0
Bhutan,1153283.0,154.8,79.1,75.7,-999.0
Somalia,1139332.0,7.6,4.5,3.8,-999.0
Armenia,1110891.0,37.4,24.9,12.5,-999.0
Jamaica,1095662.0,40.2,24.2,18.5,-999.0
Timor-Leste,1068010.0,82.6,49.2,33.4,-999.0
Zambia,1057879.0,5.8,4.4,3.6,-999.0
Niger,963041.0,4.1,2.2,2.0,-999.0
Malta,945882.0,191.5,88.1,87.4,21.8
Cameroon,923643.0,3.6,3.0,2.2,-999.0
Macau,906441.0,133.3,70.9,62.8,-999.0
Luxembourg,895374.0,145.8,72.3,68.8,7.9
Maldives,766159.0,206.0,106.3,97.5,2.1
Yemen,759220.0,2.4,1.7,1.1,-999.0
Sierra Leone,744826.0,9.5,7.7,3.9,-999.0
Brunei,744337.0,161.8,87.5,74.3,-999.0
Mali,734759.0,3.8,3.1,1.6,-999.0
Guyana,668046.0,85.1,50.6,34.5,-999.0
Burkina Faso,661796.0,3.3,2.2,1.5,-999.0
Namibia,649840.0,26.4,14.4,12.0,-999.0
Republic of the Congo,644918.0,14.1,11.3,2.8,-999.0
Iceland,637380.0,178.5,79.9,78.6,35.4
Madagascar,625884.0,2.3,1.8,1.6,-999.0
Lesotho,617671.0,30.2,28.4,27.9,-999.0
Liberia,589628.0,12.9,10.8,10.0,-999.0
Cape Verde,539908.0,98.2,55.2,43.0,-999.0
Montenegro,528111.0,84.8,43.7,40.7,-999.0
Comoros,476350.0,54.5,31.8,22.7,-999.0
Suriname,473832.0,79.4,43.0,36.4,-999.0
Equatorial Guinea,444989.0,32.7,18.2,14.5,-999.0
Papua New Guinea,435991.0,5.1,3.1,2.1,-999.0
Central African Republic,422496.0,8.9,7.6,6.8,-999.0
Belize,403528.0,98.9,55.7,46.8,-999.0
Benin,383501.0,3.2,2.9,2.5,-999.0
Guinea-Bissau,365089.0,20.6,19.5,1.0,-999.0
Eswatini,293353.0,26.3,24.2,22.4,-999.0
Barbados,288982.0,100.7,53.4,47.3,-999.0
Gabon,277979.0,13.4,8.0,5.4,-999.0
Bahamas,274502.0,72.0,39.2,35.3,-999.0
Gambia,268008.0,11.4,10.1,9.5,-999.0
Chad,249651.0,1.6,1.1,0.4,-999.0
Samoa,239883.0,119.3,69.0,42.9,-999.0
South Sudan,218154.0,1.6,1.4,1.0,-999.0
Solomon Islands,208046.0,32.5,25.2,6.7,-999.0
Curaçao,197381.0,121.1,62.9,58.2,-999.0
DR Congo,186749.0,0.2,0.1,0.1,-999.0
Haiti,184769.0,1.6,1.0,0.6,-999.0
Jersey,183066.0,-999.0,-999.0,-999.0,-999.0
Seychelles,178093.0,185.5,85.3,81.1,-999.0
Aruba,161593.0,144.3,74.6,69.6,-999.0
Isle of Man,152245.0,179.1,80.3,76.2,-999.0
Cayman Islands,121080.0,186.3,88.6,85.2,-999.0
Tonga,118185.0,118.2,73.2,44.1,-999.0
Antigua and Barbuda,117072.0,120.7,63.2,57.5,-999.0
Sao Tome and Principe,114251.0,53.6,38.6,15.0,-999.0
Andorra,104534.0,135.8,71.4,64.3,-999.0
Guernsey,104131.0,-999.0,-999.0,-999.0,-999.0
Greenland,102357.0,179.6,124.5,65.7,-999.0
Bermuda,101341.0,160.9,76.9,75.2,8.7
St. Lucia,100165.0,55.6,30.1,25.6,-999.0
Djibouti,99679.0,9.2,6.8,2.4,-999.0
Gibraltar,96771.0,284.6,120.3,117.1,47.2
Micronesia,79401.0,76.3,45.8,-999.0,-999.0
Faroe Islands,78347.0,159.9,82.1,77.8,-999.0
Grenada,73320.0,67.3,36.4,30.8,-999.0
Turks & Caicos,56343.0,148.3,76.9,71.4,-999.0
Dominica,55134.0,77.7,40.3,37.4,-999.0
St. Vincent and the Grenadines,52736.0,47.9,27.4,20.0,-999.0
Sint Maarten,51432.0,122.5,63.7,58.8,-999.0
Saint Kitts and Nevis,51414.0,90.2,47.1,43.1,-999.0
San Marino,50850.0,149.6,74.8,71.9,-999.0
Monaco,49980.0,128.2,68.4,59.8,-999.0
Anguilla,19066.0,127.1,66.0,61.1,-999.0
Nauru,14863.0,114.3,58.6,55.8,-999.0
St. Helena,7892.0,131.5,72.7,58.9,-999.0
Falkland Islands,4407.0,146.9,87.7,59.2,-999.0
Montserrat,2949.0,59.0,30.6,28.5,-999.0
Eritrea,-999.0,-999.0,-999.0,-999.0,-999.0
