국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
마다가스카르🇲🇬,27,2.2,96.5,1541,27691018,42685,,943,,41177,
레위니옹🇷🇪,45,0.7,88.4,44951,895312,40245,,288,,35563,
트리니다드 토바고🇹🇹,22,2.8,82.5,28656,1399488,39577,,1117,,32637,
수단🇸🇩,N/A,7.5,83.1,847,43849260,37138,,2776,,30867,
피지🇫🇯,40,0.8,32.5,40518,896445,36322,+682,296,+6,11798,+297
호주🇦🇺,59,2.6,84.5,1425,25499884,36051,+353,939,+6,30462,
몰타 공화국🇲🇹,4,1.2,94.6,78785,441543,34787,+71,424,,32909,+147
카보베르데🇨🇻,23,0.9,97.8,61170,555987,33976,+35,298,,33230,+25
프랑스령 기아나🇬🇫,31,0.6,32.4,103371,298682,30875,+119,193,,9995,
에스와티니🇸🇿,10,2.7,75.0,26537,1160164,30377,+980,835,+8,22796,+350
모리타니🇲🇷,16,2.1,84.2,6013,4649658,27596,+365,592,+9,23228,+189
기니🇬🇳,24,0.9,92.6,2044,13132795,26630,+153,248,+5,24669,+72
시리아🇸🇾,N/A,7.4,84.5,1490,17500658,26071,+12,1919,,22034,+7
수리남🇸🇷,"22
+1",2.5,85.5,44179,586632,25853,+137,659,+1,22106,+71
가봉🇬🇦,8,0.6,99.2,11440,2225734,25462,+22,165,,25248,+20
과들루프🇬🇵,23,1.0,9.4,59534,400124,23821,,247,,2250,
마르티니크🇲🇶,1,0.6,0.5,61367,375265,23029,,129,,104,
가이아나🇬🇾,13,2.4,94.2,29155,786552,22843,+54,554,+1,21512,+39
프랑스령 폴리네시아🇵🇫,5,0.7,88.3,79951,280908,22459,+654,157,+2,19825,+12
아이티🇭🇹,N/A,2.8,74.2,1786,11402528,20363,+37,566,+3,15110,+308
마요트🇾🇹,N/A,0.9,15.2,71591,272815,19531,+13,174,,2964,
세이셸🇸🇨,N/A,0.5,96.8,188943,98347,18582,,94,,17992,
파푸아뉴기니🇵🇬,7,1.1,97.8,1987,8947024,17774,,192,,17384,
토고🇹🇬,N/A,0.9,89.3,2021,8278724,16559,+158,156,,14785,+63
대만🇹🇼,N/A,5.1,82.7,662,23816775,15775,+10,806,+12,13053,+35
소말리아🇸🇴,N/A,5.3,48.9,993,15893222,15735,,837,,7695,
타지키스탄🇹🇯,N/A,0.8,96.9,1634,9537645,15513,+73,122,,15036,+88
바하마🇧🇸,11,1.9,83.2,39210,393244,15419,+228,295,,12824,+42
안도라🇦🇩,N/A,0.9,97.4,192014,77265,14836,+27,128,,14444,+28
말리🇲🇱,N/A,3.6,95.6,723,20250833,14633,+18,534,,13982,+5
벨리즈🇧🇿,4,2.3,94.3,36310,397628,14438,+56,339,+1,13622,+33
퀴라소🇨🇼,4,0.9,95.1,85653,164093,13988,+81,131,+1,13297,+81
부르키나파소🇧🇫,N/A,1.2,98.4,651,20903273,13610,+11,169,,13391,+6
레소토🇱🇸,N/A,2.8,49.0,6350,2142249,13603,,377,,6664,
콩고공화국🇨🇬,N/A,1.3,94.0,2395,5518087,13216,,178,,12421,
아루바🇦🇼,14,0.9,92.9,115870,106766,12262,+262,111,,11397,+138
홍콩🇭🇰,N/A,1.8,97.6,1602,7496981,12011,+7,212,,11724,+3
지부티🇩🇯,N/A,1.3,98.6,11801,988000,11659,+3,156,,11495,
동티모르🇹🇱,N/A,0.2,88.1,8703,1318445,11475,+89,26,,10114,+19
남수단🇸🇸,N/A,1.1,94.7,992,11193725,11100,+10,120,,10514,
니카라과🇳🇮,N/A,2.0,42.9,1487,6624554,9853,,196,,4225,
적도 기니🇬🇶,1,1.4,97.7,6372,1402985,8940,,123,,8730,
아이슬란드🇮🇸,21,0.3,83.0,25606,341243,8738,+125,30,,7254,+92
베냉🇧🇯,5,1.3,94.5,710,12123200,8608,,110,,8136,
감비아🇬🇲,3,2.8,87.6,3560,2416668,8603,+98,242,+4,7536,+113
라오스🇱🇦,N/A,0.1,48.5,1118,7275560,8132,+354,8,+1,3946,+59
부룬디🇧🇮,N/A,0.5,9.6,680,11890784,8088,+374,38,,773,
중앙아프리카 공화국🇨🇫,2,1.4,95.9,1481,4829767,7151,,98,,6859,
예멘🇾🇪,23,19.4,60.4,239,29825964,7131,+27,1384,+1,4305,+34
에리트레아🇪🇷,N/A,0.5,98.6,1854,3546421,6576,+3,35,,6487,+3
시에라리온🇸🇱,N/A,1.9,68.1,791,7976983,6310,+7,120,,4299,+6
세인트루시아🇱🇨,"3
+1",1.6,94.8,31471,183627,5713,+25,90,,5416,+12
니제르🇳🇪,N/A,3.5,94.4,235,24206644,5676,+7,196,,5359,+5
라이베리아🇱🇷,2,2.7,49.7,1079,5057681,5459,,148,,2715,
맨섬🇮🇲,1,0.6,81.0,63822,85033,5337,+102,33,,4321,+302
산마리노🇸🇲,N/A,1.7,97.3,151690,33931,5147,,90,,5009,
지브롤터🇬🇮,"11
-4",1.9,93.3,151851,33691,5116,+15,95,,4771,+102
차드🇹🇩,N/A,3.5,96.4,303,16425864,4977,+1,174,,4796,
기니비사우🇬🇼,4,1.7,87.2,2421,1968001,4702,+23,79,,4099,+43
