국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종률(인구),발생률_순위,접종률_순위,확진자비율_전체인구,1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
니카라과,Nicaragua,1487,6624554,9853,415640.0,3.2,153.0,140.0,0.0014873454122345444,3.9,2.5,,2.0,42.9,,196,,4225.0,,4431.0
아이슬란드,Iceland,25606,341243,8738,477205.0,66.8,93.0,14.0,0.02560638606506214,77.1,71.5,21,0.3,83.0,125.0,30,,7254.0,92.0,1284.0
베냉,Benin,710,12123200,8608,70323.0,0.3,166.0,173.0,0.0007100435528573314,0.4,-999.0,5,1.3,94.5,,110,,8136.0,,1382.0
감비아,Gambia,3560,2416668,8603,43557.0,0.9,134.0,164.5,0.0035598601049047695,1.3,0.5,3,2.8,87.6,98.0,242,4.0,7536.0,113.0,47.0
라오스,Laos,1118,7275560,8132,2479026.0,17.3,157.0,102.5,0.001117714650143769,18.4,16.2,,0.1,48.5,354.0,8,1.0,3946.0,59.0,89743.0
예멘,Yemen,239,29825964,7131,311483.0,0.5,173.0,170.5,0.00023908699145482775,0.9,-999.0,23,19.4,60.4,27.0,1384,1.0,4305.0,34.0,880.0
시에라리온,Sierra Leone,791,7976983,6310,225380.0,1.4,163.0,155.5,0.0007910258803359616,1.8,0.2,,1.9,68.1,7.0,120,,4299.0,6.0,12253.0
세인트루시아,St. Lucia,31471,183627,5713,57858.0,16.1,86.0,106.0,0.031111982442669106,18.1,14.0,"3
+1",1.6,94.8,25.0,90,,5416.0,12.0,301.0
니제르,Niger,235,24206644,5676,401133.0,0.9,174.0,164.5,0.00023448107883108454,1.5,-999.0,,3.5,94.4,7.0,196,,5359.0,5.0,5598.0
라이베리아,Liberia,1079,5057681,5459,95423.0,1.0,158.0,161.5,0.0010793484207485605,1.9,-999.0,2,2.7,49.7,,148,,2715.0,,483.0
맨섬,Isle of Man,63822,85033,5337,124807.0,73.4,53.0,7.0,0.0627638681453083,76.4,70.4,1,0.6,81.0,102.0,33,,4321.0,302.0,133.0
산마리노,San Marino,151690,33931,5147,45940.0,67.6,7.0,11.0,0.15169019480710855,70.3,69.1,,1.7,97.3,,90,,5009.0,,88.0
지브롤터,Gibraltar,151851,33691,5116,78489.0,115.4,6.0,1.0,0.15185064260484996,115.7,115.1,"11
-4",1.9,93.3,15.0,95,,4771.0,102.0,12.0
차드,Chad,303,16425864,4977,26537.0,0.1,172.0,176.0,0.00030299776011782393,0.1,0.1,,3.5,96.4,1.0,174,,4796.0,,403.0
기니비사우,Guinea-Bissau,2421,1968001,4702,25225.0,0.7,142.0,167.5,0.0023892264282386034,1.4,-999.0,4,1.7,87.2,23.0,79,,4099.0,43.0,27.0
모리셔스,Mauritius,3611,1271768,4592,1237673.0,48.8,133.0,47.0,0.003610721452340364,54.0,43.7,,0.4,40.4,,20,,1854.0,,11599.0
바베이도스,Barbados,15502,287375,4455,176682.0,30.8,101.0,73.0,0.015502392344497608,34.8,26.7,,1.1,96.7,12.0,48,,4310.0,59.0,562.0
코모로,Comoros,4635,869601,4031,162450.0,9.3,124.0,120.0,0.004635459250851828,13.9,-999.0,,3.6,96.1,1.0,147,,3875.0,2.0,4054.0
모나코,Monaco,75761,39242,2973,44060.0,56.5,42.0,37.0,0.07576066459405739,62.7,50.3,"6
+3",1.1,93.8,12.0,33,,2790.0,20.0,245.0
신트마르턴,Sint Maarten,68803,42876,2924,45346.0,54.0,50.0,40.0,0.06819666013620673,57.7,50.2,2,1.2,92.4,33.0,34,,2703.0,13.0,145.0
뉴질랜드,New Zealand,598,4822233,2880,2108567.0,21.4,169.0,93.5,0.0005972336882104204,26.7,16.2,,0.9,98.1,,26,,2824.0,,40138.0
버뮤다,Bermuda,41973,62278,2614,82976.0,65.9,75.0,16.0,0.04197308841003244,66.5,16.4,,1.3,96.0,25.0,33,,2510.0,7.0,35.0
부탄,Bhutan,3297,771608,2544,963652.0,64.7,136.0,18.0,0.0032970109174606794,68.2,-999.0,,0.1,96.7,,2,,2460.0,,67826.0
브루나이,Brunei,775,437479,339,177628.0,19.3,164.0,99.0,0.0007748943377853566,30.8,7.8,,0.9,85.3,,3,,289.0,,4082.0
그린란드,Greenland,2959,56770,168,92149.0,80.8,138.0,3.0,0.002959309494451295,113.3,48.3,,-,60.1,17.0,0,,101.0,11.0,772.0
그레나다,Grenada,1457,112523,164,37689.0,17.3,154.0,102.5,0.0014574798041289336,19.7,14.9,,0.6,98.2,,1,,161.0,,129.0
앵귈라,Anguilla,7532,15003,113,18193.0,60.6,117.0,28.0,0.007531826967939745,62.9,18.9,,-,98.2,,0,,111.0,,21.0
마카오,Macau,97,649335,63,523029.0,38.5,175.0,60.0,9.702233823835155e-05,42.6,34.5,,-,90.5,,0,,57.0,1.0,1897.0
몬트세랫,Montserrat,4407,4992,22,2791.0,27.9,125.0,75.0,0.004407051282051282,29.1,26.7,,4.5,90.9,1.0,1,,20.0,,7.0
사모아,Samoa,15,198414,3,84413.0,21.0,177.0,95.0,1.5119900813450663e-05,30.7,-999.0,,-,100.0,,0,,3.0,,1483.0
세인트헬레나,St. Helena,329,6077,2,7091.0,59.1,171.0,30.5,0.0003291097581043278,59.4,58.8,,-,100.0,,0,,2.0,,120.0
미크로네시아,Micronesia,9,115023,1,57098.0,27.5,178.0,78.5,8.693913391234797e-06,31.4,-999.0,,-,100.0,,0,,1.0,,269.0
