국가명,eng_code,발생률,인구수,확진자_합계,백신접종,접종률(인구),발생률_순위,접종률_순위,확진자비율_전체인구,1차접종,2차접종,위중증,치명(%),완치(%),확진자1일,사망자합계,사망자1일,완치합계,완치1일,접종비율(일간)
이스라엘,Israel,103671,8655535,893105,11588381.0,64.0,19.0,20.0,0.1031831076877397,64.1,59.6,"257
+4",0.7,96.1,1294.0,6516,7.0,858260.0,483.0,119085.0
헝가리,Hungary,83833,9660351,809855,11122088.0,56.9,33.0,36.0,0.08383287522368493,57.7,56.1,12,3.7,92.9,,30033,,752709.0,,11178.0
요르단,Jordan,76073,10203134,775782,5515152.0,27.4,41.0,80.0,0.07603369709738204,31.0,23.8,"590
-17",1.3,97.1,531.0,10105,5.0,753332.0,326.0,53344.0
태국,Thailand,10838,69799978,736522,19632536.0,14.1,112.0,111.0,0.010551894443290513,21.8,6.1,"5159
+160",0.8,70.2,21838.0,6066,212.0,517012.0,21108.0,401677.0
세르비아,Serbia,83005,8737371,725245,5576247.0,40.0,36.0,57.5,0.08300494508016198,41.0,39.1,"14
+2",1.0,98.1,584.0,7135,2.0,711684.0,226.0,6494.0
스위스,Switzerland,83651,8654622,723968,9085296.0,53.2,34.0,42.0,0.08365102485122979,55.1,49.3,51,1.5,95.8,,10909,,693449.0,,22363.0
네팔,Nepal,24462,29136808,712740,6611076.0,11.6,94.0,116.0,0.024461842216896238,15.5,7.8,,1.4,93.6,2231.0,10038,19.0,667270.0,1722.0,223823.0
아랍에미레이트,UAE,69922,9890402,691554,17097354.0,79.5,48.0,4.0,0.06992172815624684,73.7,66.0,,0.3,96.7,1545.0,1971,2.0,668554.0,1480.0,43091.0
모로코,Morocco,18620,36910560,676683,25933900.0,36.4,99.0,64.0,0.018333046152645745,42.3,30.6,"1010
+115",1.5,88.5,11358.0,10163,76.0,598958.0,8926.0,311199.0
오스트리아,Austria,73562,9006398,662529,9928726.0,56.0,45.0,38.0,0.07356203889723728,60.3,54.1,"40
+7",1.6,97.5,607.0,10750,2.0,645694.0,422.0,38774.0
