국가,치명(%),완치(%),발생률,인구수,치료중합계,치료중1일,위중증합계,위중증1일,확진자합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
신트마르턴🇸🇽,1.6,97.9,106703,42876,20,,10,+2,4575,+2,75,,4480,+2
리히텐슈타인🇱🇮,1.4,87.8,118207,38128,488,+47,8,+47,4507,+47,61,,3958,
코모로🇰🇲,3.3,95.2,5162,869601,66,,N/A,,4489,,150,,4273,
앤티가 바부다🇦🇬,2.8,96.6,42286,97929,24,,11,,4141,,117,,4000,
세인트마틴 섬🇲🇫,1.4,35.4,102131,38666,2494,,7,,3949,,56,,1399,
상투메 프린시페🇸🇹,1.5,98.5,17024,219159,0,,N/A,,3731,,56,,3675,
모나코🇲🇨,1.0,94.3,95000,39242,175,+8,1,+23,3728,+23,36,,3517,+15
페로 제도🇫🇴,0.4,88.5,69746,48863,380,,7,,3408,,13,,3015,
터크스 케이커스 제도🇹🇨,0.8,97.6,79965,38717,51,,N/A,,3096,,24,,3021,
카리브 네덜란드🇧🇶,0.8,91.4,109408,26223,224,-19,N/A,+11,2869,+11,22,,2623,+30
세인트키츠 네비스🇰🇳,1.0,98.0,52238,53199,28,,1,,2779,,28,,2723,
영국령 버진아일랜드🇻🇬,1.4,N/A,91462,30231,N/A,,7,,2765,,38,,N/A,
부탄🇧🇹,0.1,99.2,3421,771608,17,+4,N/A,+4,2640,+4,3,,2620,
생바르텔레미🇧🇱,0.4,N/A,162094,9877,N/A,,N/A,,1601,,6,,N/A,
앵귈라🇦🇮,0.2,90.5,88916,15003,124,,N/A,,1334,,3,,1207,
그린란드🇬🇱,-,75.9,23463,56770,321,,2,,1332,,0,,1011,
왈리스 퓌티나🇼🇫,1.6,98.4,-,-,0,,N/A,,445,,7,,438,
포클랜드 제도🇫🇰,-,N/A,22701,3480,N/A,,N/A,,79,,0,,N/A,
마카오🇲🇴,-,100,119,649335,0,,N/A,,77,,0,,77,
생피에르 미클롱🇵🇲,-,54.2,10183,5794,27,,N/A,,59,,0,,32,
몬트세랫🇲🇸,2.3,93.2,8814,4992,2,,N/A,,44,,1,,41,
바티칸 시국🇻🇦,-,100,33708,801,0,,N/A,,27,,0,,27,
솔로몬 제도🇸🇧,-,100,29,686884,0,,N/A,,20,,0,,20,
서사하라🇪🇭,10,80,17,597339,1,,N/A,,10,,1,,8,
잔담(크루즈)🚢,22.2,77.8,-,-,0,,N/A,,9,,2,,7,
팔라우🇵🇼,-,100,442,18094,0,,N/A,,8,,0,,8,
바누아투🇻🇺,16.7,50,20,307145,2,,N/A,,6,,1,,3,
마셜 제도🇲🇭,-,100,68,59190,0,,N/A,,4,,0,,4,
사모아🇼🇸,-,100,15,198414,0,,N/A,,3,,0,,3,
세인트헬레나🇸🇭,-,100,329,6077,0,,N/A,,2,,0,,2,
미크로네시아🇫🇲,-,100,9,115023,0,,N/A,,1,,0,,1,
통가🇹🇴,-,100,9,105695,0,,N/A,,1,,0,,1,
