국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
파라과이🇵🇾,23,3.5,96.3,64473,7132538,459855,+27,16191,+48,442854,+109
미얀마🇲🇲,N/A,3.8,90.1,8444,54409800,459436,+1282,17583,+56,413821,+1866
쿠웨이트🇰🇼,"10
-2",0.6,99.2,96365,4270571,411533,+49,2447,+1,408424,+42
슬로바키아🇸🇰,"119
+20",3.1,94.4,75027,5459642,409621,+1012,12606,+10,386622,+474
크로아티아🇭🇷,"102
+5",2.1,96.1,97721,4105267,401169,+1061,8614,+8,385455,+1098
팔레스타인🇵🇸,74,1.0,92.0,78203,5101414,398946,,4046,,367181,
우루과이🇺🇾,"13
-1",1.6,98.1,111860,3473730,388572,+70,6053,+1,381190,+152
아일랜드🇮🇪,"66
+1",1.4,88.0,78116,4937786,385721,+1044,5209,,339559,+1926
베네수엘라🇻🇪,681,1.2,95.3,12827,28435940,364758,+1458,4427,+15,347693,+1090
온두라스🇭🇳,"418
-33",2.7,30.0,36812,9904607,364605,+1588,9705,+26,109496,+557
덴마크🇩🇰,"15
-3",0.7,97.9,61777,5792202,357827,+457,2652,+6,350430,+403
도미니카 공화국🇩🇴,"171
+1",1.1,97.5,32957,10847910,357517,+368,4041,+2,348606,+259
에티오피아🇪🇹,"791
-7",1.6,90.3,2978,114963588,342305,+591,5439,+38,308938,+543
리비아🇱🇾,N/A,1.4,75.8,49174,6871292,337890,,4617,,256121,
리투아니아🇱🇹,"203
+11",1.5,91.3,120449,2722289,327896,+1242,4946,+16,299479,+212
대한민국🇰🇷,"324
+5",0.8,88.6,5965,51269185,305842,+2289,2464,+8,270928,+1796
오만🇴🇲,"20
-2",1.3,97.9,59473,5106626,303705,+32,4095,,297252,+335
이집트🇪🇬,90,5.7,84.4,2954,102334404,302327,+702,17224,+37,255059,+588
몽골🇲🇳,192,0.4,95.2,91181,3278290,298919,+2153,1242,+17,284712,
슬로베니아🇸🇮,"74
+6",1.6,93.9,139972,2078938,290994,+1039,4553,+10,273303,+1385
몰도바🇲🇩,"160
-1",2.3,94.4,71900,4033963,290043,+1018,6713,+18,273920,+661
바레인🇧🇭,"4
+1",0.5,99.2,161543,1701575,274877,+63,1389,,272738,+61
아르메니아🇦🇲,N/A,2.0,92.7,87667,2963243,259779,+772,5277,+13,240730,+425
케냐🇰🇪,92,2.1,96.8,4622,53771296,248515,,5109,,240672,
카타르🇶🇦,16,0.3,99.2,82082,2881053,236482,+94,605,,234545,+120
보스니아 헤르체고비나🇧🇦,N/A,4.5,82.5,71056,3280819,233121,+884,10542,+34,192218,
잠비아🇿🇲,"25
-3",1.7,98.1,11364,18383955,208912,+55,3647,+1,204847,+102
나이지리아🇳🇬,11,1.3,94.2,993,206139589,204752,+296,2690,+13,192951,+331
알제리🇩🇿,18,2.9,68.5,4627,43851044,202877,+155,5786,+9,138961,+109
북마케도니아🇲🇰,N/A,3.5,90.2,91198,2083374,189999,,6607,,171375,
노르웨이🇳🇴,"21
+2",0.5,47.3,34668,5421241,187941,+724,851,+1,88952,
키르기스스탄🇰🇬,131,1.5,97.0,27341,6524195,178375,+58,2604,+2,173005,+93
보츠와나🇧🇼,1,1.3,97.2,75714,2351627,178050,+1623,2367,+7,173004,+953
우즈베키스탄🇺🇿,23,0.7,97.0,5166,33469203,172899,+406,1230,+5,167700,+501
알바니아🇦🇱,3,1.6,92.0,58443,2877797,168188,+295,2653,+13,154694,+1075
라트비아🇱🇻,"61
+9",1.7,92.8,82642,1886198,155880,+804,2700,+11,144715,
아프가니스탄🇦🇫,1124,4.6,80.2,3985,38928346,155128,+35,7204,+3,124362,+349
에스토니아🇪🇪,"19
+2",0.9,92.2,116636,1326535,154722,+796,1351,+5,142671,+186
모잠비크🇲🇿,32,1.3,97.4,4816,31255435,150540,+10,1910,+1,146588,+34
핀란드🇫🇮,25,0.8,32.8,25283,5540720,140087,+409,1062,,46000,
몬테네그로🇲🇪,N/A,1.5,93.0,207781,628066,130500,+852,1914,+19,121363,+1218
짐바브웨🇿🇼,12,3.5,94.2,8741,14862924,129919,+294,4607,+3,122446,+197
나미비아🇳🇦,"16
-1",2.7,96.4,50129,2540905,127373,+112,3494,,122753,+19
가나🇬🇭,42,0.9,96.4,4088,31072940,127016,+395,1150,+4,122456,+578
우간다🇺🇬,327,2.6,77.9,2694,45741007,123245,,3146,,96059,
키프로스🇨🇾,"33
-6",0.5,76.8,97884,1207359,118181,+136,553,,90755,
캄보디아🇰🇭,N/A,2.1,91.8,6627,16718965,110792,+866,2287,+26,101690,+505
코소보🇽🇰,N/A,2.1,98.0,59381,1810463,107507,,2269,,105323,
엘살바도르🇸🇻,127,3.1,83.2,16088,6486205,104348,+2324,3211,+14,86851,+1870
호주🇦🇺,301,1.2,74.1,3958,25499884,100919,+1886,1256,+12,74781,
르완다🇷🇼,"9
-2",1.3,46.9,7488,12952218,96982,+143,1258,+6,45465,+1
중국🇨🇳,N/A,4.8,94.2,67,1439323776,96081,+31,4636,,90463,+61
싱가포르🇸🇬,"27
-3",0.1,84.0,15305,5850342,89539,+1647,80,+2,75176,+524
카메룬🇨🇲,152,1.6,94.2,3218,26545863,85414,,1368,,80433,
몰디브🇲🇻,23,0.3,97.9,156294,540544,84484,+122,231,,82676,+109
자메이카🇯🇲,"46
+15",2.2,63.0,28040,2961167,83030,+252,1841,+7,52292,+195
룩셈부르크🇱🇺,8,1.1,97.6,124493,625978,77930,+168,835,,76026,+261
세네갈🇸🇳,"9
-1",2.5,97.2,4405,16743927,73757,+10,1855,,71694,+82
말라위🇲🇼,67,3.7,88.9,3216,19129952,61517,+8,2278,+2,54668,+75
코트디부아르🇨🇮,N/A,1.0,96.0,2274,26378274,59977,+98,607,+7,57606,+127
콩고민주공화국🇨🇩,N/A,1.9,54.3,635,89561403,56862,+245,1084,+1,30858,
앙골라🇦🇴,8,2.7,85.1,1691,32866272,55583,+462,1513,+12,47328,+55
레위니옹🇷🇪,33,0.7,97.7,59466,895312,53241,,363,,52010,
과들루프🇬🇵,23,1.3,4.2,132809,400124,53140,,690,,2250,
피지🇫🇯,"10
-29",1.2,72.2,56749,896445,50872,+117,621,+31,36724,+17
트리니다드 토바고🇹🇹,22,2.9,88.7,35767,1399488,50055,+106,1464,+7,44378,+202
에스와티니🇸🇿,10,2.6,96.0,39488,1160164,45812,+42,1213,+1,43983,+92
마다가스카르🇲🇬,3,2.2,96.3,1549,27691018,42898,,958,,41322,
마르티니크🇲🇶,1,1.4,0.3,108044,375265,40545,,582,,104,
수리남🇸🇷,19,2.1,66.4,68997,586632,40476,+568,861,+16,26881,+17
프랑스령 폴리네시아🇵🇫,"24
-6",1.5,83.4,143029,280908,40178,,616,+5,33500,
프랑스령 기아나🇬🇫,34,0.6,25.1,133219,298682,39790,,256,,9995,
수단🇸🇩,N/A,7.6,83.8,872,43849260,38217,+16,2900,+6,32044,+6
카보베르데🇨🇻,23,0.9,97.4,67397,555987,37472,+24,336,+2,36490,+42
몰타 공화국🇲🇹,"3
-1",1.2,96.7,84067,441543,37119,+16,457,,35896,+37
모리타니🇲🇷,22,2.2,95.8,7719,4649658,35889,+30,772,+4,34399,+108
시리아🇸🇾,N/A,6.6,70.8,1904,17500658,33323,+350,2215,+8,23599,+71
가이아나🇬🇾,"30
-3",2.5,85.0,39713,786552,31236,+88,772,+10,26557,+287
기니🇬🇳,24,1.2,94.7,2312,13132795,30364,+2,378,+1,28752,+19
가봉🇬🇦,"26
+3",0.6,90.3,13261,2225734,29515,+389,183,+5,26641,+100
토고🇹🇬,N/A,0.9,88.8,3050,8278724,25252,+34,227,+1,22433,+112
베냉🇧🇯,5,0.7,75.3,1894,12123200,22958,,154,,17294,
라오스🇱🇦,N/A,0.1,24.8,3084,7275560,22441,,16,,5568,
아이티🇭🇹,N/A,2.8,89.9,1898,11402528,21647,+107,610,,19463,+115
세이셸🇸🇨,N/A,0.5,97.9,217058,98347,21347,+90,115,,20903,+246
바하마🇧🇸,15,2.5,88.2,52830,393244,20775,+172,523,+1,18321,+56
마요트🇾🇹,N/A,0.9,14.6,74197,272815,20242,+23,178,,2964,
소말리아🇸🇴,N/A,5.6,47.7,1257,15893222,19980,+257,1111,+8,9523,+109
벨리즈🇧🇿,10,2.0,88.1,50160,397628,19945,+345,405,+3,17568,+321
파푸아뉴기니🇵🇬,7,1.2,94.0,2182,8947024,19523,,227,,18353,
동티모르🇹🇱,N/A,0.6,95.1,14748,1318445,19445,+47,114,+1,18493,+128
부룬디🇧🇮,N/A,0.2,4.4,1472,11890784,17505,+1149,38,,773,
타지키스탄🇹🇯,N/A,0.7,99.3,1791,9537645,17084,,124,,16960,
퀴라소🇨🇼,4,1.0,96.4,99840,164093,16383,+10,161,+1,15797,+31
대만🇹🇼,N/A,5.2,84.8,680,23816775,16205,+7,842,,13742,
아루바🇦🇼,7,1.1,97.3,144540,106766,15432,+16,166,+1,15013,+18
모리셔스🇲🇺,N/A,0.5,12.0,12102,1271768,15391,+230,79,+8,1854,
안도라🇦🇩,4,0.9,98.6,196583,77265,15189,+22,130,,14981,+15
말리🇲🇱,N/A,3.6,94.1,749,20250833,15165,+2,547,,14271,+7
레소토🇱🇸,N/A,2.8,47.4,6720,2142249,14395,,403,,6830,
콩고공화국🇨🇬,N/A,1.4,87.2,2581,5518087,14244,+131,193,+2,12421,
부르키나파소🇧🇫,N/A,1.3,97.6,679,20903273,14199,+27,181,+1,13856,+44
니카라과🇳🇮,N/A,1.5,30.8,2073,6624554,13730,,203,,4225,
지부티🇩🇯,N/A,1.3,96.6,12402,988000,12253,,162,,11838,
홍콩🇭🇰,N/A,1.7,97.4,1629,7496981,12209,+13,213,,11897,+5
남수단🇸🇸,4,1.1,96.8,1068,11193725,11954,+6,128,,11570,+148
적도 기니🇬🇶,1,1.2,86.6,8415,1402985,11806,,142,,10225,
아이슬란드🇮🇸,3,0.3,96.7,34462,341243,11760,+128,33,,11372,+121
중앙아프리카 공화국🇨🇫,2,0.9,60.3,2354,4829767,11371,,100,,6859,
세인트루시아🇱🇨,15,1.7,79.0,61162,183627,11231,+87,186,+1,8874,+72
감비아🇬🇲,3,3.4,96.4,4109,2416668,9930,,335,,9571,
예멘🇾🇪,23,18.9,62.0,301,29825964,8988,,1703,,5570,
바베이도스🇧🇧,N/A,0.9,85.4,27017,287375,7764,+188,68,+1,6634,+162
맨섬🇮🇲,1,0.7,95.2,87672,85033,7455,+28,51,,7096,+31
뉴칼레도니아🇳🇨,"53
-3",1.5,0.8,23951,285498,6838,+653,101,+18,58,
브루나이🇧🇳,"34
-4",0.6,67.3,15573,437479,6813,+113,39,+1,4582,+139
에리트레아🇪🇷,N/A,0.6,99.0,1888,3546421,6694,,42,,6628,
시에라리온🇸🇱,N/A,1.9,68.5,801,7976983,6393,,121,,4380,
기니비사우🇬🇼,4,2.2,86.6,3099,1968001,6099,,135,,5283,
니제르🇳🇪,N/A,3.4,95.9,247,24206644,5990,+10,201,,5746,+11
라이베리아🇱🇷,2,4.9,94.2,1146,5057681,5794,+12,283,,5458,
지브롤터🇬🇮,2,1.8,97.1,164198,33691,5532,+15,97,,5373,+8
산마리노🇸🇲,2,1.7,97.8,159972,33931,5428,,91,,5310,
버뮤다🇧🇲,1,1.2,70.2,82613,62278,5145,+163,62,+10,3613,+295
차드🇹🇩,N/A,3.5,96.4,306,16425864,5034,+2,174,,4853,+3
그레나다🇬🇩,N/A,2.6,61.5,44480,112523,5005,+83,130,+10,3080,+221
신트마르턴🇸🇽,10,1.6,94.7,98773,42876,4235,+22,66,+3,4012,+28
뉴질랜드🇳🇿,5,0.6,94.2,872,4822233,4204,+10,27,,3961,+16
코모로🇰🇲,N/A,3.6,95.9,4747,869601,4128,,147,,3960,
세인트마틴 섬🇲🇫,7,1.5,37.5,96390,38666,3727,,55,,1399,
리히텐슈타인🇱🇮,2,1.7,97.4,90354,38128,3445,,60,,3355,
세인트빈센트 그레나딘🇻🇨,2,0.5,71.1,30278,110940,3359,+21,18,+1,2388,+7
상투메 프린시페🇸🇹,N/A,1.5,80.0,15281,219159,3349,+5,49,,2680,+5
모나코🇲🇨,"2
-4",1.0,98.2,84246,39242,3306,+3,33,,3245,+3
도미니카 연방🇩🇲,N/A,0.5,81.4,45745,71986,3293,,15,,2680,
앤티가 바부다🇦🇬,9,2.2,64.4,29848,97929,2923,,64,,1882,
터크스 케이커스 제도🇹🇨,1,0.8,97.0,73198,38717,2834,,23,,2749,+1
영국령 버진아일랜드🇻🇬,7,1.4,96.7,87394,30231,2642,,37,,2555,
부탄🇧🇹,N/A,0.1,99.7,3370,771608,2600,+1,3,,2593,
카리브 네덜란드🇧🇶,N/A,0.9,93.8,77985,26223,2045,+26,19,,1918,
세인트키츠 네비스🇰🇳,1,0.6,52.1,35189,53199,1872,+37,11,+1,976,+6
생바르텔레미🇧🇱,N/A,0.2,29.5,158449,9877,1565,,3,,462,
탄자니아🇹🇿,7,3.7,13.4,23,59734218,1367,,50,,183,
페로 제도🇫🇴,N/A,0.2,92.9,23331,48863,1140,+13,2,,1059,+8
케이맨 제도🇰🇾,N/A,0.2,93.7,12355,65722,812,+17,2,,761,+14
그린란드🇬🇱,2,-,70.4,9952,56770,565,,0,,398,
왈리스 퓌티나🇼🇫,N/A,1.6,98.4,-,-,445,,7,,438,
앵귈라🇦🇮,N/A,0.3,93.1,25928,15003,389,+25,1,,362,+17
마카오🇲🇴,N/A,-,90,108,649335,70,+3,0,,63,
포클랜드 제도🇫🇰,N/A,-,94.0,19253,3480,67,,0,,63,
몬트세랫🇲🇸,N/A,3.0,90.9,6611,4992,33,,1,,30,
생피에르 미클롱🇵🇲,N/A,-,100,5350,5794,31,,0,,31,
바티칸 시국🇻🇦,N/A,-,100,33708,801,27,,0,,27,
솔로몬 제도🇸🇧,N/A,-,100,29,686884,20,,0,,20,
서사하라🇪🇭,N/A,10,80,17,597339,10,,1,,8,
잔담(크루즈)🚢,N/A,22.2,77.8,-,-,9,,2,,7,
팔라우🇵🇼,N/A,-,100,276,18094,5,,0,,5,
마셜 제도🇲🇭,N/A,-,100,68,59190,4,,0,,4,
바누아투🇻🇺,N/A,25,75,13,307145,4,,1,,3,
사모아🇼🇸,N/A,-,100,15,198414,3,,0,,3,
세인트헬레나🇸🇭,N/A,-,100,329,6077,2,,0,,2,
미크로네시아🇫🇲,N/A,-,100,9,115023,1,,0,,1,
