국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,"21819
-275",1.6,76.0,132772,331002651,43942335,+187382,709119,+2781,33394833,+208564
인도🇮🇳,8944,1.3,97.8,24431,1380004385,33714241,+21093,447699,+337,32976760,+28144
브라질🇧🇷,8318,2.8,95.3,100520,212559417,21366395,+14423,594702,+218,20361191,+20818
영국🇬🇧,"878
-38",1.8,80.7,113959,67886011,7701715,+37485,136208,+40,6219111,+33541
러시아🇷🇺,2300,2.8,88.9,51151,145934462,7464708,+21559,205531,+852,6635485,+17368
터키🇹🇷,633,0.9,92.3,83789,84339067,7066688,+27188,63372,+206,6522435,+25160
프랑스🇫🇷,1609,1.7,96.3,107174,65273511,6995628,+1309,116537,+74,6737491,+14460
이란🇮🇷,"6124
-85",2.2,89.7,66192,83992949,5559691,+11701,119888,+239,4988109,+22011
아르헨티나🇦🇷,"1200
-37",2.2,97.4,116204,45195774,5251940,+1538,114954,+92,5113603,+2007
콜롬비아🇨🇴,542,2.5,96.8,97335,50882891,4952690,+1015,126178,+33,4793387,+1672
스페인🇪🇸,837,1.7,95.6,105907,46754778,4951640,+5039,86298,+69,4736022,+27855
이탈리아🇮🇹,"488
+5",2.8,95.0,77157,60461826,4662087,+1773,130742,+45,4430265,+2892
독일🇩🇪,1435,2.2,94.4,50275,83783942,4212201,+4941,94049,+66,3978200,+11500
인도네시아🇮🇩,N/A,3.4,95.7,15397,273523615,4211460,+2057,141709,+124,4031099,+3551
멕시코🇲🇽,4798,7.6,82.3,28199,128932753,3635807,+3007,275676,+230,2991723,+7262
폴란드🇵🇱,"168
+15",2.6,91.7,76747,37846611,2904631,+976,75601,+29,2662115,+107
남아프리카 공화국🇿🇦,546,3.0,95.4,48855,59308690,2897521,+578,87216,+164,2762812,+2719
필리핀🇵🇭,3170,1.5,93.3,23024,109581078,2522965,+32107,37686,+281,2353140,+61134
우크라이나🇺🇦,177,2.3,93.6,54922,43733762,2401956,+6552,55863,+143,2248071,+2927
말레이시아🇲🇾,"978
-72",1.2,90.8,68257,32365999,2209194,+10959,25695,+258,2005939,+16430
페루🇵🇪,"1025
+2",9.2,N/A,65915,32971854,2173354,+320,199314,+22,N/A,
네덜란드🇳🇱,"160
-17",0.9,N/A,116697,17134872,1999592,+1707,18162,+8,N/A,
이라크🇮🇶,"516
-5",1.1,95.3,49689,40222493,1998615,+2401,22187,+45,1904022,+3795
일본🇯🇵*,"1066
-44",1.0,96.8,13428,126476461,1698344,+1722,17577,+50,1643625,+4341
체코🇨🇿,"36
+6",1.8,97.8,157838,10708981,1690288,+668,30454,,1653600,+431
칠레🇨🇱,"389
+9",2.3,97.3,86460,19116201,1652795,+431,37449,+4,1608584,+1088
캐나다🇨🇦,638,1.7,95.4,42722,37742154,1612431,+10052,27698,+49,1538280,+10029
태국🇹🇭,3324,1.0,91.6,22656,69799978,1581415,+9489,16498,+129,1448206,+12805
방글라데시🇧🇩,"1408
-5",1.8,97.4,9435,164689383,1553873,+1310,27470,+31,1513876,+1195
이스라엘🇮🇱,641,0.6,94.9,146753,8655535,1270230,,7684,,1205657,
파키스탄🇵🇰,"4015
-18",2.2,93.8,5622,220892340,1241825,+1400,27638,+41,1164219,+2042
벨기에🇧🇪,"206
-10",2.1,93.1,106851,11589623,1238358,+4635,25568,+14,1152355,+7685
루마니아🇷🇴,"1267
+49",3.0,91.2,62939,19237691,1210810,+11049,36658,+208,1104496,+5701
스웨덴🇸🇪,"35
-7",1.3,N/A,113986,10099265,1151173,+1766,14808,+27,N/A,
포르투갈🇵🇹,"74
-5",1.7,95.5,104718,10196709,1067775,+600,17962,+7,1019266,+1331
모로코🇲🇦,"552
-46",1.5,96.9,25188,36910560,929699,+394,14199,+32,901220,+2248
세르비아🇷🇸,"251
+26",0.9,85.5,106012,8737371,926269,+8467,8142,+45,792262,+5785
카자흐스탄🇰🇿,221,1.3,92.6,46904,18776707,880709,+1719,11100,+35,815664,+2781
쿠바🇨🇺,"406
+20",0.8,95.4,76528,11326616,866808,+6009,7330,+51,826727,+7105
스위스🇨🇭,209,1.3,90.7,96800,8654622,837767,+1288,11079,+26,759741,
헝가리🇭🇺,"74
+3",3.7,95.4,85041,9660351,821526,+265,30179,+8,783815,+648
요르단🇯🇴,"446
-30",1.3,97.2,80446,10203134,820798,+1015,10697,+17,797773,+1069
네팔🇳🇵,N/A,1.4,96.3,27226,29136808,793271,+904,11115,+12,763734,+1318
베트남🇻🇳,N/A,2.5,72.7,7917,97338579,770640,+4589,18936,+178,559941,+21487
오스트리아🇦🇹,"240
+6",1.5,95.8,82026,9006398,738763,+1561,10986,+10,707860,+2758
아랍에미레이트🇦🇪,N/A,0.3,99.0,74361,9890402,735457,+277,2094,,727845,+329
튀니지🇹🇳,316,3.5,95.5,59692,11818619,705474,+179,24794,+6,673438,+394
그리스🇬🇷,"323
-14",2.3,93.8,62179,10423054,648091,+2122,14727,+48,608082,+2382
레바논🇱🇧,200,1.3,94.9,91194,6825445,622440,+205,8296,+10,591002,+2425
조지아🇬🇪,N/A,1.5,95.3,152749,3989167,609340,+2185,8884,+40,580891,+2010
과테말라🇬🇹,5,2.4,92.3,30718,17915568,550333,+773,13394,+19,507777,+2564
사우디아라비아🇸🇦,"227
-17",1.6,98.0,15713,34813871,547035,+50,8709,+5,536079,+53
벨라루스🇧🇾,N/A,0.8,96.6,56523,9449323,534104,+1955,4114,+12,516030,+1469
코스타리카🇨🇷,"443
-16",1.2,80.8,103256,5094118,525999,+4817,6277,+88,425077,+4873
스리랑카🇱🇰,N/A,2.5,88.5,24031,21413249,514592,+983,12731,+51,455344,+812
에콰도르🇪🇨,759,6.4,87.3,28830,17643054,508655,+797,32747,+27,443880,
볼리비아🇧🇴,220,3.7,91.8,42765,11673021,499202,+307,18707,+7,458227,+711
불가리아🇧🇬,"432
-108",4.2,87.3,71296,6948445,495397,+2536,20638,+149,432315,+2268
아제르바이잔🇦🇿,N/A,1.3,94.1,47479,10139177,481401,,6476,,452968,
파나마🇵🇦,61,1.5,97.7,108084,4314767,466357,+179,7216,+8,455577,+180
