국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
미국🇺🇸,"24850
-306",1.6,75.8,129506,331002651,42866805,+66311,691562,+847,32483226,+49060
인도🇮🇳,8944,1.3,97.7,24240,1380004385,33451085,+33695,444899,+336,32671167,+38945
브라질🇧🇷,8318,2.8,95.5,99879,212559417,21230325,+127789,590547,+803,20280294,+100188
영국🇬🇧,1020,1.8,80.5,109444,67886011,7400739,+29438,135147,+164,5958691,+24673
러시아🇷🇺,2300,2.7,89.3,49851,145934462,7274928,+20174,198218,+793,6498682,+13418
프랑스🇫🇷,2000,1.7,95.4,106468,65273511,6949519,+7414,116002,+42,6626486,+13588
터키🇹🇷,633,0.9,92.5,80874,84339067,6820861,+26161,61361,+221,6309910,+24023
이란🇮🇷,"6765
-71",2.2,87.8,64587,83992949,5424835,+15975,117182,+391,4764998,+28102
아르헨티나🇦🇷,"1516
-77",2.2,97.2,115909,45195774,5238610,+1451,114367,+81,5093351,+2902
콜롬비아🇨🇴,542,2.5,96.7,97071,50882891,4939251,+1655,125860,+34,4777796,+1627
스페인🇪🇸,1028,1.7,94.0,105434,46754778,4929546,,85783,,4633527,
이탈리아🇮🇹,"519
-6",2.8,94.7,76678,60461826,4632275,+4576,130284,+51,4388951,+5756
인도네시아🇮🇩,N/A,3.4,95.2,15321,273523615,4190763,+2234,140468,+145,3989326,+6186
독일🇩🇪,1217,2.3,93.6,49496,83783942,4146982,+7973,93558,+41,3882700,+9000
멕시코🇲🇽,4798,7.6,81.8,27648,128932753,3564694,+11711,271303,+765,2916271,+9500
폴란드🇵🇱,"111
+1",2.6,91.8,76571,37846611,2897935,+540,75488,+1,2659483,+463
남아프리카 공화국🇿🇦,546,3.0,94.7,48565,59308690,2880349,+3286,86116,+164,2728961,+14396
필리핀🇵🇭,3170,1.6,90.9,21598,109581078,2366749,+19199,36788,+205,2151765,+24886
우크라이나🇺🇦,177,2.3,95.0,53697,43733762,2348381,+3983,54875,+46,2230852,+546
페루🇵🇪,"1034
-7",9.2,N/A,65705,32971854,2166419,+886,198976,+28,N/A,
말레이시아🇲🇾,"1165
-39",1.1,88.4,64354,32365999,2082876,+15549,23067,+324,1840450,+17205
네덜란드🇳🇱,"197
+3",0.9,N/A,115841,17134872,1984915,+1663,18114,+3,N/A,
이라크🇮🇶,"616
+7",1.1,94.3,49107,40222493,1975220,+2515,21822,+47,1862940,+5067
체코🇨🇿,"29
-2",1.8,97.9,157455,10708981,1686182,+304,30430,+1,1650536,+244
일본🇯🇵*,"1500
-63",1.0,94.0,13266,126476461,1677810,+3397,17227,+41,1576570,+11822
칠레🇨🇱,"438
-7",2.3,97.4,86182,19116201,1647469,+475,37359,+20,1603934,+427
캐나다🇨🇦,638,1.7,95.4,41633,37742154,1571327,+2141,27384,+14,1498486,+1052
방글라데시🇧🇩,"1403
-12",1.8,97.3,9367,164689383,1542683,+1383,27225,+43,1501541,+2887
태국🇹🇭,4387,1.0,90.1,21153,69799978,1476477,+13576,15363,+117,1330019,+12492
파키스탄🇵🇰,"4964
-153",2.2,92.6,5540,220892340,1223841,+2580,27206,+71,1132726,+3164
이스라엘🇮🇱,"726
+65",0.6,92.5,141148,8655535,1221713,+10270,7511,+17,1130393,+7517
벨기에🇧🇪,218,2.1,93.0,105251,11589623,1219814,,25497,,1133872,+2746
루마니아🇷🇴,"849
+51",3.1,94.0,59711,19237691,1148710,+3817,35514,+58,1079408,+974
스웨덴🇸🇪,43,1.3,N/A,113373,10099265,1144982,,14734,,N/A,
