키워드,언론사,기사명,날짜,URL
제주의소리,"기독교 등 15개 단체 ""제주학생인권조례 제정 반대""",2020.08.31.,http://www.jejusori.net/news/articleView.html?idxno=319562,학부모 인권보호연대
신동아,"“코로나 방역에서 놓친 소중한 인권, 연대, 경제”",2020.04.24.,https://shindonga.donga.com/3/all/13/2045364/1,학부모 인권보호연대
제주MBC,학생권리는 어디까지?인권조례 찬.반엇갈려,2020.08.19.,https://jejumbc.com/article/3PjsrV26NR5d,학부모 인권보호연대
제주MBC,학생권리는 어디까지?인권조례 찬.반엇갈려,2020.08.18.,https://jejumbc.com/article/g28kP4M4KO,학부모 인권보호연대
대전일보,충남학생인권조례 통과됐지만 반발 여전,2020.06.29.,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1428862,학부모 인권보호연대
CNB뉴스,"경남도교육청, 전국 첫 '교육인권경영센터' 개관",2020.05.12.,http://www.cnbnews.com/news/article.html?no=446053,학부모 인권보호연대
국민일보,"""대선 후보들, 동성애 차별금지법 제정 않겠다고 약속하라""",2017.04.15.,http://news.kmib.co.kr/article/view.asp?arcid=0011401671&code=61221111&cp=nv,학부모 인권보호연대
국민일보,동성애·동성결혼 합법화 저지를 위한 연석회의,2017.04.12.,http://news.kmib.co.kr/article/view.asp?arcid=0011395799&code=61221111&cp=nv,학부모 인권보호연대
경기신문,"포천교육청, 장애학생 인권지원단에 위촉장 수여",2020.05.27.,http://www.kgnews.co.kr/news/articleView.html?idxno=586077,학부모 인권보호연대
전라일보,"전북학생인권조례 공포 7년··· ""어리다고 얕보지 말아요""",2020.04.26.,http://www.jeollailbo.com/news/articleView.html?idxno=597068,학부모 인권보호연대
금강일보,"충남교육연대, 총선 교육정책요구안 마련",2020.04.09.,http://www.ggilbo.com/news/articleView.html?idxno=759840,학부모 인권보호연대
베이비뉴스,"""국회 인권의식 바닥 수준… 씨앗 심는 마음으로 투표""",2020.04.02.,https://www.ibabynews.com/news/articleView.html?idxno=84169,학부모 인권보호연대
크리스천투데이,[전문] 국가인권위법 개정안 지지 성명,2019.12.11.,http://www.christiantoday.co.kr/news/327357,학부모 인권보호연대
크리스천투데이,[전문] 부산시 인권기본조례 학생자치조례 관련 성명,2019.12.14.,http://www.christiantoday.co.kr/news/327449,학부모 인권보호연대
오마이뉴스,학생·교장·교사·학부모 '경남학생인권조례 제정' 한 목소리,2019.04.13.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002528089&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,학부모 인권보호연대
경남매일신문,거제 청소년노동인권 보호ㆍ증진조례안 결사 반대,2019.07.22.,http://www.gnmaeil.com/news/articleView.html?idxno=421451,학부모 인권보호연대
이투데이,"[e기자가 만났다] 여준형 젊은빙상인연대 대표 ""폭력코치 편든 학부모들...대...",2019.01.24.,http://www.etoday.co.kr/news/section/newsview.php?idxno=1714557,학부모 인권보호연대
충청매일,"우리아이지킴이학부모연대 ""아산시 인권조례 폐지하라""",2017.12.27.,http://www.ccdn.co.kr/news/articleView.html?idxno=491874,학부모 인권보호연대
한겨레,경남학생인권조례 시민연대 발족,2018.09.19.,http://www.hani.co.kr/arti/society/area/862767.html,학부모 인권보호연대
아시아투데이,"유은혜 부총리 ""장애인 인권 침해 개선 속도감 있게 추진""…온라인 인권보호센...",2018.12.18.,http://www.asiatoday.co.kr/view.php?key=20181218010011180,학부모 인권보호연대
시사저널,"[경남브리핑] 박종훈 교육감 ""인권조례 무산, 유감""",2019.06.28.,http://www.sisajournal.com/news/articleView.html?idxno=187811,학부모 인권보호연대
베리타스알파,"강원교육청, 학교운동부지도자 학생선수 인권 보호 결의문 채택",2019.01.28.,http://www.veritas-a.com/news/articleView.html?idxno=142417,학부모 인권보호연대
LG헬로비전,"도교육청, 학생 선수 인권 보호 결의문 채택",2019.01.29.,http://news.cjhello.com/news/newsView.do?soCode=SCM1000000&idx=243809,학부모 인권보호연대
경남매일신문,경남도의회 심의 '학생인권조례' 여론전 뜨겁다,2019.05.14.,http://www.gnmaeil.com/news/articleView.html?idxno=414562,학부모 인권보호연대
무등일보,"광주시교육청, 장애학생 인권보호 강화한다",2018.11.05.,http://www.honam.co.kr/read.php3?aid=1541343600568765065,학부모 인권보호연대
아시아경제,"광주시교육청, 장애학생 인권보호 강화한다",2018.11.02.,http://view.asiae.co.kr/news/view.htm?idxno=2018110210480956029,학부모 인권보호연대
크리스천투데이,“인권 이름으로 군대 허무나?” 국가인권위 규탄,2019.06.27.,http://www.christiantoday.co.kr/news/323575,학부모 인권보호연대
KTV국민방송,"장애학생 인권 안전망 구축···""인권 침해 막는다"" [현장in]",2019.06.17.,http://www.ktv.go.kr/content/view?content_id=577356,학부모 인권보호연대
MBN,폭행·차별 익명신고…장애학생 인권보호 강화,2018.12.19.,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=3714367,학부모 인권보호연대
크리스천투데이,"""경남학생인권조례 수정말고 폐기하라""",2019.03.28.,http://www.christiantoday.co.kr/news/321114,학부모 인권보호연대
크리스천투데이,[샬롬나비 국가인권위원회 규탄 논평 전문],2019.05.13.,http://www.christiantoday.co.kr/news/322379,학부모 인권보호연대
크리스천투데이,"“학생인권조례, 학교를 갈등·투쟁의 장소로 만들어”",2019.05.08.,http://www.christiantoday.co.kr/news/322269,학부모 인권보호연대
중도일보,"광주시교육청, 장애학생 인권보호 강화",2018.11.01.,http://www.joongdo.co.kr/main/view.php?key=20181101010000386,학부모 인권보호연대
경상일보,"""경남도교육청, 학생인권조례 수정안 폐기해야""",2019.03.27.,http://www.ksilbo.co.kr/news/articleView.html?idxno=687976,학부모 인권보호연대
에이블뉴스,"""특수학교 폭력 피해 장애학생·학부모 방치 현실""",2018.12.28.,http://www.ablenews.co.kr/News/NewsContent.aspx?CategoryCode=0020&NewsCode=002020181228095042489471,학부모 인권보호연대
비마이너,잇따른 특수학교 폭력 사건 그 후… 피해 장애학생과 학부모는 방치되고 있어,2018.12.29.,http://beminor.com/detail.php?number=12954&thread=04r06,학부모 인권보호연대
남도일보,장애학생 사고 은폐에 학부모들 '분통',2018.11.01.,http://www.namdonews.com/news/articleView.html?idxno=495917,학부모 인권보호연대
인천뉴스,인천시 인권조례안 찬반 논란 가열,2018.11.20.,http://www.incheonnews.com/news/articleView.html?idxno=113957,학부모 인권보호연대
에이블뉴스,'제5기 국가인권위원회' 출범에 거는 기대,2018.10.30.,http://www.ablenews.co.kr/News/NewsContent.aspx?CategoryCode=0006&NewsCode=000620181030005204817237,학부모 인권보호연대
아주경제,입법예고중인 '인천시 인권조례 제정안' 지역의 핫이슈로 부상중,2018.11.26.,http://www.ajunews.com/view/20181126102904482,학부모 인권보호연대
새전북신문,"천호성 ""학생 인권보호 앞장서겠다""",2018.04.08.,http://www.sjbnews.com/news/articleView.html?idxno=607216,학부모 인권보호연대
쿠키뉴스,경남학생인권조례 제정 반대 움직임 본격화,2018.11.14.,http://www.kukinews.com/news/article.html?no=604177,학부모 인권보호연대
인천일보,市 인권조례 추진 놓고 시민단체 찬반 '시끌',2018.11.27.,http://www.incheonilbo.com/news/articleView.html?idxno=914520,학부모 인권보호연대
쿠키뉴스,학생인권조례 제정 공청회장 밖은 여전히 찬반 대립 심화,2018.11.20.,http://www.kukinews.com/news/article.html?no=605975,학부모 인권보호연대
불교공뉴스,대전지역 청소년 인권증진 연속 세미나,2018.12.12.,http://www.bzeronews.com/news/articleView.html?idxno=378990,학부모 인권보호연대
경남도민일보,학생인권조례 두고 종교계 견해 양분,2018.11.15.,http://www.idomin.com/?mod=news&act=articleView&idxno=581356,학부모 인권보호연대
서울경제,장애학생 다쳤는데 학교는 한 달간 경위 '쉬쉬'···학부모 반발,2018.10.29.,http://www.sedaily.com/NewsView/1S63P0HIS5,학부모 인권보호연대
위키리크스한국,인천만 없는 '인권조례'…이번엔?,2018.11.21.,http://www.wikileaks-kr.org/news/articleView.html?idxno=41323,학부모 인권보호연대
아시아투데이,서울대 인권가이드라인 반대학생연대 “‘동성애 파시즘’을 정당화하려는 인...,2016.10.09.,http://www.asiatoday.co.kr/view.php?key=20161009002035132,학부모 인권보호연대
중도일보,충남 인권조례 결국 폐지 확정..전국 첫 사례(종합),2018.04.03.,http://www.joongdo.co.kr/main/view.php?key=20180403010001576,학부모 인권보호연대
연합뉴스,"인권위, 작년 정책권고 4배로 늘어…""적극적 인권보호 노력""",2017.06.25.,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170624059900004&did=1195m,학부모 인권보호연대
뉴시스,"제주시민단체, 교육감에게 '학생 인권 보호' 당부",2016.06.09.,http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160609_0014139930&cID=10813&pID=10800,학부모 인권보호연대
여성신문,충남인권조례 정당 횡포에 오락가락,2018.01.31.,http://www.womennews.co.kr/news/129495,학부모 인권보호연대
국제뉴스,"서거석, 학생안전·학력증진·학생 및 교사 인권보장 등 1차 공약 발표",2018.04.03.,http://www.gukjenews.com/news/articleView.html?idxno=901189,학부모 인권보호연대
여성신문,"충남인권조례, 폐지하려는 자와 지켜내려는 자",2018.01.29.,http://www.womennews.co.kr/news/129398,학부모 인권보호연대
한겨레,"고양시, ‘인권 조례’ 개정하려다 기독교계 반발에 취소",2018.04.13.,http://www.hani.co.kr/arti/society/area/840495.html,학부모 인권보호연대
경남도민일보,보수단체 압력에 학생 노동인권 교육 조례안 좌초 우려,2018.04.06.,http://www.idomin.com/?mod=news&act=articleView&idxno=563302,학부모 인권보호연대
주간경향,[표지 이야기]또 하나의 지방선거 ‘학부모들의 교육감 선거’,2018.05.23.,http://weekly.khan.co.kr/khnm.html?mode=view&code=115&artid=201805211610201&pt=nv,학부모 인권보호연대
경향신문,학부모들이 보는 6·13 교육감 선거,2018.05.20.,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201805200958001&code=910110,학부모 인권보호연대
뉴스1,인천교육감 후보 첫 토론회…학생인권·교권침해 다뤄,2018.06.02.,http://news1.kr/articles/?3334529,학부모 인권보호연대
뉴스1,"충남 기교독계 ""동성애 조장 충남인권조례 폐지 마땅""",2018.01.23.,http://news1.kr/articles/?3214634,학부모 인권보호연대
크리스천투데이,"“동성애 옹호·조장하는 인권조례, 마땅히 폐지돼야”",2018.02.05.,http://www.christiantoday.co.kr/news/309172,학부모 인권보호연대
일요신문,"경남도, 여성·아동인권 보호에 적극 나서",2016.03.21.,http://ilyo.co.kr/?ac=article_view&entry_id=171237,학부모 인권보호연대
노컷뉴스,여수 장애 학생 차별·인권침해 파장,2017.12.01.,http://www.nocutnews.co.kr/news/4886330,학부모 인권보호연대
충청매일,'아산시인권조례' 놓고 찬반 대립 첨예,2018.01.18.,http://www.ccdn.co.kr/news/articleView.html?idxno=502379,학부모 인권보호연대
인천뉴스,인천시 인권조례안 찬반 논란 가열,2018.11.20.,http://www.incheonnews.com/news/articleView.html?idxno=113957,학부모 인권보호연대
에이블뉴스,'제5기 국가인권위원회' 출범에 거는 기대,2018.10.30.,http://www.ablenews.co.kr/News/NewsContent.aspx?CategoryCode=0006&NewsCode=000620181030005204817237,학부모 인권보호연대
연합뉴스,"장애 학생 사고 은폐에 학부모들 분통…""진상규명·재발 방지""",2018.11.01.,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20181101076000054&did=1195m,학부모 인권보호연대
아주경제,입법예고중인 '인천시 인권조례 제정안' 지역의 핫이슈로 부상중,2018.11.26.,http://www.ajunews.com/view/20181126102904482,학부모 인권보호연대
새전북신문,"천호성 ""학생 인권보호 앞장서겠다""",2018.04.08.,http://www.sjbnews.com/news/articleView.html?idxno=607216,학부모 인권보호연대
쿠키뉴스,경남학생인권조례 제정 반대 움직임 본격화,2018.11.14.,http://www.kukinews.com/news/article.html?no=604177,학부모 인권보호연대
인천일보,市 인권조례 추진 놓고 시민단체 찬반 '시끌',2018.11.27.,http://www.incheonilbo.com/news/articleView.html?idxno=914520,학부모 인권보호연대
쿠키뉴스,학생인권조례 제정 공청회장 밖은 여전히 찬반 대립 심화,2018.11.20.,http://www.kukinews.com/news/article.html?no=605975,학부모 인권보호연대
불교공뉴스,대전지역 청소년 인권증진 연속 세미나,2018.12.12.,http://www.bzeronews.com/news/articleView.html?idxno=378990,학부모 인권보호연대
경남도민일보,학생인권조례 두고 종교계 견해 양분,2018.11.15.,http://www.idomin.com/?mod=news&act=articleView&idxno=581356,학부모 인권보호연대
신아일보,"대전광역시, 청소년 인권증진 연속 세미나",2018.12.12.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1125714,학부모 인권보호연대
경남도민일보,학생인권조례 두고 종교계 견해 양분,2018.11.15.,http://www.idomin.com/?mod=news&act=articleView&idxno=581356,학부모 인권보호연대
서울경제,장애학생 다쳤는데 학교는 한 달간 경위 '쉬쉬'···학부모 반발,2018.10.29.,http://www.sedaily.com/NewsView/1S63P0HIS5,학부모 인권보호연대
위키리크스한국,인천만 없는 '인권조례'…이번엔?,2018.11.21.,http://www.wikileaks-kr.org/news/articleView.html?idxno=41323,학부모 인권보호연대
경남신문,81개 시민·종교단체 참여…학생인권조례 반대단체 창립총회,2018.11.14.,http://www.knnews.co.kr/news/articleView.php?idxno=1267727,학부모 인권보호연대
아시아투데이,서울대 인권가이드라인 반대학생연대 “‘동성애 파시즘’을 정당화하려는 인...,2016.10.09.,http://www.asiatoday.co.kr/view.php?key=20161009002035132,학부모 인권보호연대
중도일보,충남 인권조례 결국 폐지 확정..전국 첫 사례(종합),2018.04.03.,http://www.joongdo.co.kr/main/view.php?key=20180403010001576,학부모 인권보호연대
