키워드,언론사,기사명,날짜,URL
인천일보,[코로나19] 안양아트센터에 백신 접종센터 추가 설치,2021.04.08.,http://www.incheonilbo.com/news/articleView.html?idxno=1088402,최대호 안양시장 백신
동아일보,백신 접종자 ‘시청 주차장 50% 할인’ 혜택 두고 ‘와글와글’ [e글e글],2021.06.01.,https://www.donga.com/news/article/all/20210601/107216624/2,최대호 안양시장 백신
브릿지경제,안양시-안양동안경찰서 백신 안전접종 협약체결,2021.03.20.,http://www.viva100.com/main/view.php?key=20210320010005582,최대호 안양시장 백신
파이낸셜뉴스,[코로나19] 안양시 백신접종센터 모의훈련 실시,2021.03.29.,http://www.fnnews.com/news/202103290607136536,최대호 안양시장 백신
기호일보,"안양시, 스마트 행복도시로 한달음",2021.05.05.,http://www.kihoilbo.co.kr/news/articleView.html?idxno=925475,최대호 안양시장 백신
일요신문,"안양시, 백신 접종 26일부터 실시...요양병원·요양시설 1,428명 우선 접종",2021.02.25.,https://ilyo.co.kr/?ac=article_view&entry_id=393764,최대호 안양시장 백신
경기도민일보,안양시 접종센터 추가로 개소,2021.04.07.,http://www.kgdm.co.kr/news/articleView.html?idxno=751303,최대호 안양시장 백신
뉴스핌,"안양시 백신접종 만전...""일상을 회복하는 올해 되길""",2021.01.27.,http://www.newspim.com/news/view/20210127001025,최대호 안양시장 백신
경기도민일보,"안양시, 예방접종센터 운영 모의훈련",2021.03.28.,http://www.kgdm.co.kr/news/articleView.html?idxno=748711,최대호 안양시장 백신
이뉴스투데이,"안양시, 26일 지역예방접종센터 운영 모의 훈련 실시",2021.03.26.,http://www.enewstoday.co.kr/news/articleView.html?idxno=1463989,최대호 안양시장 백신
SK브로드밴드,[B tv abc뉴스]안양지역 임시선별검사소 '설 연휴에도 운영',2021.02.15.,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=60&p_no=116897,최대호 안양시장 백신
중부일보,"[민선7기 3년] 최대호 안양시장 ""GTX-C노선 인덕원 정차 실현… 2040년 인구 ...",2021.08.02.,http://www.joongboo.com/news/articleView.html?idxno=363496932,최대호 안양시장 백신
브릿지경제,"최대호 안양시장 ""추경 신속집행으로 자영업자에 힘 실어주길 기대""",2021.07.26.,http://www.viva100.com/main/view.php?key=20210726010006235,최대호 안양시장 백신
Queen,"최대호 안양시장, 25일 문재인 대통령 주재 중대본 화상회의 참여",2021.07.28.,http://www.queen.co.kr/news/articleView.html?idxno=364751,최대호 안양시장 백신
파이낸셜뉴스,최대호 안양시장 “공직자 힘은 위기에서 더 빛난다”,2021.07.18.,http://www.fnnews.com/news/202107181106313167,최대호 안양시장 백신
경인매일,"최대호 안양시장, 16일 선별검사소·접종센터 7개소 릴레이 방문",2021.07.19.,http://www.kmaeil.com/news/articleView.html?idxno=293264,최대호 안양시장 백신
SK브로드밴드,"[B tv abc뉴스]최대호 안양시장, 청년층 코로나 검사 당부",2021.07.08.,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=60&p_no=126032,최대호 안양시장 백신
NSP통신,"최대호 안양시장, 민선7기 3년 ‘위기를 기회로’…“시민 안전·행복만 보며...",2021.06.30.,http://www.nspna.com/news/?mode=view&newsid=511628,최대호 안양시장 백신
브릿지경제,안양시 최대호 시장 제9회 대한민국 미래경영대상 수상,2021.07.05.,http://www.viva100.com/main/view.php?key=20210705010000983,최대호 안양시장 백신
이뉴스투데이,"최대호 안양시장, 2021 코로나 위기관리 역량 강화 대상 수상",2021.07.01.,http://www.enewstoday.co.kr/news/articleView.html?idxno=1492589,최대호 안양시장 백신
Queen,"최대호 안양시장, 2021 코로나 위기관리 역량 강화 대상",2021.07.05.,http://www.queen.co.kr/news/articleView.html?idxno=363439,최대호 안양시장 백신
헤럴드경제,최대호 안양시장 “공직자의 힘은 위기에 발휘된다”,2021.07.15.,http://news.heraldcorp.com/view.php?ud=20210715001062,최대호 안양시장 백신
경기도민일보,"최대호 안양시장, 대한민국 미래경영대상 수상",2021.07.06.,http://www.kgdm.co.kr/news/articleView.html?idxno=774674,최대호 안양시장 백신
팍스경제TV,"최대호 안양시장, 2021 코로나 위기관리 역량 강화 대상 영애",2021.07.04.,http://www.paxetv.com/news/articleView.html?idxno=121147,최대호 안양시장 백신
전국매일신문,"[민선7기 3년] 최대호 안양시장 ""안양시민 안전·행복만 바라보며 정진""",2021.07.01.,http://www.jeonmae.co.kr/news/articleView.html?idxno=845967,최대호 안양시장 백신
이데일리,코로나19 대응 모범도시 ‘안양시’...최대호 시장 “또 일등”,2021.07.01.,http://www.edaily.co.kr/news/newspath.asp?newsid=04149206629110256,최대호 안양시장 백신
뉴시스,"최대호 안양시장, ""새로운 100년 준비하겠다""",2021.06.30.,http://www.newsis.com/view/?id=NISX20210630_0001495687&cID=10803&pID=14000,최대호 안양시장 백신
파이낸셜뉴스,최대호-이채명 찰떡궁합 안양시 특별휴가 해산,2021.06.25.,http://www.fnnews.com/news/202106250618365997,최대호 안양시장 백신
아주경제,"최대호 안양시장, '공유경제 선두주자 나서고 백신접종도 속도낸다'",2021.05.04.,http://www.ajunews.com/view/20210504100313425,최대호 안양시장 백신
브릿지경제,안양시 코로나19 예방 모범사례 시립합창단 전원 음성 판정!,2020.08.17.,http://www.viva100.com/main/view.php?key=20200817010002948,최대호 안양시장 백신
