키워드,언론사,기사명,날짜,URL
서울경제,"[파워기초단체장에게 듣는다] 이강덕 포항시장 ""철강서 바이오까지···포항...",28면 TOP,https://www.sedaily.com/NewsView/22NPLSBKMW,이강덕 시장 백신
경상매일신문,"이강덕 포항시장, 경로당 방문해 지친 어르신 격려",2021.06.10.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=338383&part_idx=7,이강덕 시장 백신
일요신문,[포항시정] 75세 이상 어르신 81% 화이자백신 접종 마쳐 外,2021.06.29.,https://ilyo.co.kr/?ac=article_view&entry_id=405550,이강덕 시장 백신
대경일보,"포항시, 5년간 6조 8000억 투자 유치",2021-09-07,http://www.dkilbo.com/news/articleView.html?idxno=343534,이강덕 시장 백신
프레시안,"포항시, 75세 이상 어르신 백신접종 대상자 80.7% 접종 완료",2021.06.30.,https://www.pressian.com/pages/articles/2021062915380708511?utm_source=naver&utm_medium=search,이강덕 시장 백신
경북일보,"이강덕 시장 ""포항 연구중심의과대학 유치 타당성 건의""",2021.04.14.,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2074276,이강덕 시장 백신
쿠키뉴스,"포항시, 10일부터 얀센 백신 접종 '시작'",2021.06.09.,http://www.kukinews.com/newsView/kuk202106090192,이강덕 시장 백신
뉴스웨이,"이강덕 포항시장, 코로나19 극복 유공자에 감사패 전달",2021.04.05.,http://www.newsway.co.kr/news/view?tp=1&ud=2021040518024667760,이강덕 시장 백신
쿠키뉴스,"[포항소식] 이강덕 시장, 도시재생 뉴딜사업 현장 '점검' 외",2021.03.26.,http://www.kukinews.com/newsView/kuk202103260217,이강덕 시장 백신
브레이크뉴스,"이강덕 포항시장, 코로나19 예방접종센터 설치 현장 점검 나서",2021.03.11.,http://www.breaknews.com/791473,이강덕 시장 백신
일요신문,[포항시정] 코로나 백신 접종 향상 위한 긴급대책회의 진행 外,2021.05.27.,https://ilyo.co.kr/?ac=article_view&entry_id=402468,이강덕 시장 백신
일요신문,"[포항시정] 이강덕 시장, 코로나19 예방접종센터 설치 현장 점검 外",2021.03.11.,https://ilyo.co.kr/?ac=article_view&entry_id=395175,이강덕 시장 백신
뉴스1,이강덕 시장 '집중 또 집중',2021.03.18.,https://www.news1.kr/photos/view/?4672175,이강덕 시장 백신
아주경제,"권영진 대구시장, 경북과 ‘이건희미술관‧K-바이오 랩허브’ 사업 맞손",2021.06.10.,http://www.ajunews.com/view/20210610144107126,이강덕 시장 백신
국민일보,"그린바이오 산업 키우는 포항시, 9월 식물백신기업지원시설 착공",2019.05.16.,http://news.kmib.co.kr/article/view.asp?arcid=0924078577&code=11131421&cp=nv,이강덕 시장 백신
내외뉴스통신,"이강덕 포항시장 접종 현장 참관 ""안전·안심 접종"" 당부",2021.03.01.,http://www.nbnnews.co.kr/news/articleView.html?idxno=472982,이강덕 시장 백신
