키워드,언론사,기사명,날짜,URL
포항MBC,"1일 포항시 ""포스트 코로나…민생경제 회복""",2021.01.02.,http://www.phmbc.co.kr/www/news/desk_news?idx=173363&mode=view,이강덕 포항시장 백신
일요신문,[포항시정] 철도공사 방문 이강덕 시장 ‘포항~수서 KTX 유치’ 요청 外,2021.07.15.,https://ilyo.co.kr/?ac=article_view&entry_id=406992,이강덕 포항시장 백신
프라임경제,[브리핑 경북] 이강덕 포항시장 '포항~수서 KTX 유치' 총력,2021.07.15.,http://www.newsprime.co.kr/news/article.html?no=548835,이강덕 포항시장 백신
국제뉴스,포항시도 60~74세 코로나 백신 동네 병·의원서 접종 가능,2021.08.06.,http://www.gukjenews.com/news/articleView.html?idxno=2282344,이강덕 포항시장 백신
브레이크뉴스,"이강덕 포항시장, 민선7기 3주년 “더 큰 포항 향한 새로운 도약”",2021.06.30.,http://www.breaknews.com/817438,이강덕 포항시장 백신
뉴스1,이강덕 시장 백신접종 긴장하지 마세요,2021.07.19.,https://www.news1.kr/photos/view/?4879119,이강덕 포항시장 백신
위키트리,"이강덕 포항시장 민선7기 3주년, 민생현장 행보부터‘시민 곁으로 가까이’",2021.07.01.,https://www.wikitree.co.kr/articles/664885,이강덕 포항시장 백신
잡포스트,"이강덕 포항시장, 민선7기 3주년 ""더 큰 포항 향한 새로운 도약""",2021.07.01.,http://www.job-post.co.kr/news/articleView.html?idxno=26955,이강덕 포항시장 백신
브레이크뉴스,"이강덕 포항시장, 해수욕장 개장 전 현장 점검 실시",2021.07.07.,http://www.breaknews.com/819079,이강덕 포항시장 백신
쿠키뉴스,포항 18~49세 백신 접종 시작된다,2021.08.05.,http://www.kukinews.com/newsView/kuk202108050112,이강덕 포항시장 백신
브레이크뉴스,"이강덕 포항시장, 시민들 생활 속으로 찾아가는 민생 행보 시작",2021.07.01.,http://www.breaknews.com/817864,이강덕 포항시장 백신
뉴시스,"포항시, 7일부터 개편된 사회적거리두기 시행",2020.11.05.,http://www.newsis.com/view/?id=NISX20201105_0001223979&cID=10810&pID=10800,이강덕 포항시장 백신
일요신문,[포항시정] 사회적 거리두기 3단계 2주간 연장 外,2021.08.09.,https://ilyo.co.kr/?ac=article_view&entry_id=408915,이강덕 포항시장 백신
뉴스웨이,[동정] 이강덕 포항시장(7월 26일),2021.07.25.,http://www.newsway.co.kr/news/view?tp=1&ud=2021072518341631253,이강덕 포항시장 백신
서울경제,"[파워기초단체장에게 듣는다] 이강덕 포항시장 ""철강서 바이오까지···포항...",28면 TOP,https://www.sedaily.com/NewsView/22NPLSBKMW,이강덕 포항시장 백신
위키트리,"이강덕 포항시장, 경로당 방문해 코로나19에 지친 어르신들 격려",2021.06.11.,https://www.wikitree.co.kr/articles/657923,이강덕 포항시장 백신
뉴스핌,"태풍 '루핏' 북상...포항시, 비상근무 돌입",2021.08.08.,http://www.newspim.com/news/view/20210808000127,이강덕 포항시장 백신
경상매일신문,"<특집>포항시, 신성장산업 앵커기업 유치로 더 큰 지역발전 견인",2021.08.09.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=345261&part_idx=243,이강덕 포항시장 백신
일요신문,"[포항시정] 포항공항, 진에어 취항 이후 이용객 60% 이상↑ 外",2021.08.02.,https://ilyo.co.kr/?ac=article_view&entry_id=408408,이강덕 포항시장 백신
대경일보,"이강덕 포항시장, 경로당 방문해 코로나19에 지친 어르신들 격려",2021.06.10.,http://www.dkilbo.com/news/articleView.html?idxno=335911,이강덕 포항시장 백신
일요신문,[포항시정] 코로나19 대응 관련 긴급종합 대책회의 개최 外,2021.08.05.,https://ilyo.co.kr/?ac=article_view&entry_id=408674,이강덕 포항시장 백신
일요신문,[포항시정] 75세 이상 어르신 81% 화이자백신 접종 마쳐 外,2021.06.29.,https://ilyo.co.kr/?ac=article_view&entry_id=405550,이강덕 포항시장 백신
국제뉴스,"포항시, 최근 5년간 투자유치 4조9천억 원 사상 최대 성과 지역경제 재도약 구...",2021.08.03.,http://www.gukjenews.com/news/articleView.html?idxno=2279903,이강덕 포항시장 백신
프레시안,"포항시, 75세 이상 어르신 백신접종 대상자 80.7% 접종 완료",2021.06.30.,https://www.pressian.com/pages/articles/2021062915380708511?utm_source=naver&utm_medium=search,이강덕 포항시장 백신
중도일보,포항의 '저력'… 5년간 4.9兆 투자유치 일궈냈다,2021.08.04.,http://www.joongdo.co.kr/web/view.php?key=20210803010000779,이강덕 포항시장 백신
브레이크뉴스,"포항시, 최근 5년 투자유치 4조9천억 원 최다 성과",2021.08.03.,http://www.breaknews.com/824831,이강덕 포항시장 백신
BBS NEWS,김부겸 총리 취임 후 첫 경북 방문...포항 죽도시장 코로나19 방역 점검,2021.07.21.,https://news.bbsi.co.kr/news/articleView.html?idxno=3039058,이강덕 포항시장 백신
프라임경제,"[브리핑 경북] 영덕군, 전통시장 화재 복구에 전 행정력 집중",2021-09-07,http://www.newsprime.co.kr/news/article.html?no=552259,이강덕 포항시장 백신
일요신문,[포항시정] 사회적 거리두기 2주 연장…코로나 확산세 차단 총력 外,2021.07.14.,https://ilyo.co.kr/?ac=article_view&entry_id=406927,이강덕 포항시장 백신
